family	genus	species	taxid	segment	experiment	result_type	cluster	timestamp	last_changed_timestamp	num_input_seqs	num_curated_seqs	num_clusters	rss	elapsed_time	mean_cluster_objective_value	mean_cluster_target_len	mean_cluster_num_primers5	mean_cluster_num_primers3	mean_cluster_num_guides	mean_cluster_guide_set_frac_bound	mean_cluster_guide_set_expected_activity	mean_cluster_guide_set_median_activity	mean_cluster_guide_set_5th_pctile_activity
Anelloviridae	Gyrovirus	Avian gyrovirus 2	1002273	None	nonspecific_max-activity	taxon	NA	1588952395	1588952395	28	28	1	781736.0	342.36	5.304026730545578	88	1	1	1	1.0	3.505865461059979	3.5292356610298157	3.513217329978943
Astroviridae	Mamastrovirus	Bovine astrovirus B170/HK	1027244	None	nonspecific_max-activity	taxon	NA	1589082890	1589082890	1	1	1	551200.0	2498.03	5.4154882359631324	89	1	1	1	1.0	3.6299834847450256	3.6299834847450256	3.6299834847450256
Astroviridae	Mamastrovirus	Bovine astrovirus B18/HK	1027245	None	nonspecific_max-activity	taxon	NA	1589083344	1589083344	2	2	1	598968.0	2296.82	5.156653179222086	95	1	1	1	1.0	3.4389739334583282	3.4312912225723267	3.4312912225723267
Astroviridae	Mamastrovirus	Bovine astrovirus B76-2/HK	1027247	None	nonspecific_max-activity	taxon	NA	1589084061	1589084061	1	1	1	553816.0	2483.51	5.357799024641162	88	1	1	1	1.0	3.5596377551555634	3.5596377551555634	3.5596377551555634
Astroviridae	Mamastrovirus	Bovine astrovirus B76/HK	1027248	None	nonspecific_max-activity	taxon	NA	1589084382	1589084382	1	1	1	550604.0	2427.15	5.415800393879062	88	1	1	1	1.0	3.617639124393463	3.617639124393463	3.617639124393463
Alloherpesviridae	Ictalurivirus	Ictalurid herpesvirus 1	10401	None	nonspecific_max-activity	taxon	NA	1588923355	1588923355	2	1	1	747300.0	13300.97	5.417337657272464	88	1	1	1	1.0	3.6191763877868652	3.6191763877868652	3.6191763877868652
Asfarviridae	Asfivirus	African swine fever virus	10497	None	nonspecific_max-activity	taxon	NA	1589070075	1589070075	38	28	1	1029888.0	37531.11	5.440589072635844	88	1	1	1	1.0	3.642427803150245	3.6424321234226227	3.642418682575226
Adenoviridae	Mastadenovirus	unidentified adenovirus	10535	None	nonspecific_max-activity	taxon	NA	1588849657	1588849657	1	1	1	577240.0	967.13	5.373125545991209	89	1	1	1	1.0	3.587620794773102	3.587620794773102	3.587620794773102
Adenoviridae	Mastadenovirus	Canine mastadenovirus A	10537	None	nonspecific_max-activity	taxon	NA	1588736320	1588736320	5	5	1	676668.0	1948.52	5.375449181854373	88	1	1	1	1.0	3.5772879123687744	3.5772879123687744	3.5772879123687744
Astroviridae	unknown	Mouse astrovirus M-52/USA/2008	1074210	None	nonspecific_max-activity	taxon	NA	1589076982	1589076982	1	1	1	552824.0	1642.65	5.385489018022662	88	1	1	1	1.0	3.5873277485370636	3.5873277485370636	3.5873277485370636
Adenoviridae	Mastadenovirus	Human mastadenovirus B	108098	None	nonspecific_max-activity	taxon	NA	1588746535	1588746535	240	240	1	1299608.0	5714.02	5.248024422986057	89	1	1	1	1.0	3.46251967176795	3.5011004209518433	3.3955612182617188
Astroviridae	unknown	Porcine astrovirus 5	1093928	None	nonspecific_max-activity	taxon	NA	1589077973	1589077973	8	8	1	693908.0	2208.65	5.2706036198265815	89	1	1	1	1.0	3.4850988686084747	3.4852299094200134	3.437148690223694
Birnaviridae	Avibirnavirus	Infectious bursal disease virus	10995	A	nonspecific_max-activity	taxon	NA	1589102301	1589102301	158	157	1	1956564.0	3714.96	5.238990137264256	88	1	1	1	1.0	3.4408288677786567	3.4710026383399963	3.227449119091034
Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	11002	B	nonspecific_max-activity	taxon	NA	1589099295	1589099295	153	152	1	1251660.0	1975.14	5.077684065621151	92	1	1	1	1.0	3.3276840656211504	3.435936391353607	2.7690354585647583
Arteriviridae	Porartevirus	Lactate dehydrogenase-elevating virus	11048	None	nonspecific_max-activity	taxon	NA	1589064907	1589064907	3	3	1	665236.0	3856.14	5.281529892322032	90	1	1	1	1.0	3.5082525412241616	3.519172430038452	3.449195623397827
Astroviridae	Mamastrovirus	Porcine astrovirus 2	1105378	None	nonspecific_max-activity	taxon	NA	1589094647	1589094647	19	19	1	986620.0	1384.41	4.971008839727261	90	1	1	1	1.0	3.1977314886293913	3.203316390514374	3.075018286705017
Astroviridae	Mamastrovirus	Porcine astrovirus 4	1105379	None	nonspecific_max-activity	taxon	NA	1589095217	1589095217	26	26	1	1099304.0	1656.50	5.205192539162812	90	1	1	1	1.0	3.431915188064942	3.526534080505371	3.074453055858612
Circoviridae	unknown	Po-Circo-like virus 41	1105385	None	nonspecific_max-activity	taxon	NA	1589136738	1589136738	1	1	1	547292.0	819.41	5.382577845291901	90	1	1	1	1.0	3.6093004941940308	3.6093004941940308	3.6093004941940308
Circoviridae	unknown	Po-Circo-like virus 51	1105386	None	nonspecific_max-activity	taxon	NA	1589136980	1589136980	1	1	1	546992.0	725.85	5.297734202205783	88	1	1	1	1.0	3.4995729327201843	3.4995729327201843	3.4995729327201843
Birnaviridae	unknown	Espirito Santo virus	1127767	B	nonspecific_max-activity	taxon	NA	1589097530	1589097530	1	1	1	546664.0	1247.78	5.385246397316104	88	1	1	1	1.0	3.5870851278305054	3.5870851278305054	3.5870851278305054
Circoviridae	unknown	Meles meles circovirus-like virus	1128073	None	nonspecific_max-activity	taxon	NA	1589136012	1589136012	1	1	1	542364.0	791.24	5.416919113456851	88	1	1	1	1.0	3.6187578439712524	3.6187578439712524	3.6187578439712524
Astroviridae	Mamastrovirus	Astrovirus wild boar/WBAstV-1/2011/HUN	1137931	None	nonspecific_max-activity	taxon	NA	1589082189	1589082189	1	1	1	554380.0	2131.93	5.39666104441846	88	1	1	1	1.0	3.5984997749328613	3.5984997749328613	3.5984997749328613
Astroviridae	unknown	Murine astrovirus	1141625	None	nonspecific_max-activity	taxon	NA	1589077584	1589077584	3	3	1	624680.0	2969.63	5.3386678310827875	88	1	1	1	1.0	3.5405065615971885	3.545052170753479	3.529143750667572
Adenoviridae	Mastadenovirus	Ovine mastadenovirus A	114424	None	nonspecific_max-activity	taxon	NA	1588776629	1588776629	1	1	1	595088.0	2075.65	5.394130708038455	88	1	1	1	1.0	3.5959694385528564	3.5959694385528564	3.5959694385528564
Adenoviridae	Atadenovirus	Snake atadenovirus A	1146872	None	nonspecific_max-activity	taxon	NA	1588697177	1588697177	1	1	1	593072.0	2432.92	5.415608705341464	88	1	1	1	1.0	3.6174474358558655	3.6174474358558655	3.6174474358558655
Adenoviridae	Mastadenovirus	Murine mastadenovirus B	1146873	None	nonspecific_max-activity	taxon	NA	1588773065	1588773065	1	1	1	588964.0	1928.60	5.407669992506152	88	1	1	1	1.0	3.6095087230205536	3.6095087230205536	3.6095087230205536
Adenoviridae	Mastadenovirus	Bat mastadenovirus B	1146874	None	nonspecific_max-activity	taxon	NA	1588725943	1588725943	2	2	1	619872.0	2607.29	5.416265794472504	90	1	1	1	1.0	3.642988443374634	3.642988443374634	3.642988443374634
Adenoviridae	Aviadenovirus	Turkey aviadenovirus B	1146875	None	nonspecific_max-activity	taxon	NA	1588716631	1588716631	1	1	1	596252.0	1785.26	5.375869096576816	88	1	1	1	1.0	3.577707827091217	3.577707827091217	3.577707827091217
Adenoviridae	Siadenovirus	Great tit siadenovirus A	1146876	None	nonspecific_max-activity	taxon	NA	1588855791	1588855791	1	1	1	559980.0	820.39	5.403370820296552	89	1	1	1	1.0	3.6178660690784454	3.6178660690784454	3.6178660690784454
Adenoviridae	Mastadenovirus	Bat mastadenovirus A	1146877	None	nonspecific_max-activity	taxon	NA	1588724776	1588724776	2	2	1	618044.0	2574.75	5.412523792445308	88	1	1	1	1.0	3.614362522959709	3.594062626361847	3.594062626361847
Amalgaviridae	unknown	Zygosaccharomyces bailii virus Z	114871	None	nonspecific_max-activity	taxon	NA	1588927557	1588927557	2	2	1	562584.0	275.90	5.340688228607178	92	1	1	1	1.0	3.5906882286071777	3.5906882286071777	3.5906882286071777
Astroviridae	Mamastrovirus	Canine astrovirus	1157338	None	nonspecific_max-activity	taxon	NA	1589085311	1589085311	11	11	1	821192.0	2560.24	5.1181438090093305	88	1	1	1	1.0	3.3199825395237315	3.4005690813064575	2.9914002418518066
Astroviridae	Mamastrovirus	Rabbit astrovirus TN/2208/2010	1161132	None	nonspecific_max-activity	taxon	NA	1589096825	1589096825	1	1	1	556740.0	3117.07	5.387061320555952	89	1	1	1	1.0	3.601556569337845	3.601556569337845	3.601556569337845
Arenaviridae	Mammarenavirus	Lassa mammarenavirus	11620	S	nonspecific_max-activity	taxon	NA	1588986528	1588986528	345	11	1	732696.0	209.59	3.8905217973645128	97	1	2	2	1.0	2.9428851387717505	3.373048782348633	1.426332950592041
Arenaviridae	Mammarenavirus	Lymphocytic choriomeningitis mammarenavirus	11623	L	nonspecific_max-activity	taxon	NA	1589001701	1589001701	34	4	1	641288.0	385.57	5.076661021768695	88	1	1	1	1.0	3.2784997522830963	3.3192734718322754	2.805387496948242
Arenaviridae	Mammarenavirus	Machupo mammarenavirus	11628	L	nonspecific_max-activity	taxon	NA	1589040696	1589040696	17	16	1	830412.0	1288.67	5.2676072645314	89	1	1	1	1.0	3.4821025133132935	3.507701337337494	3.110108435153961
Arenaviridae	Mammarenavirus	Mopeia mammarenavirus	11629	L	nonspecific_max-activity	taxon	NA	1589042390	1589042390	4	4	1	614788.0	1828.02	4.998640680150795	90	1	1	2	1.0	3.475363329052925	3.463473677635193	3.463473677635193
Arenaviridae	Mammarenavirus	Tacaribe mammarenavirus	11631	L	nonspecific_max-activity	taxon	NA	1589047004	1589047004	2	2	1	583252.0	1509.72	5.412688524782306	88	1	1	1	1.0	3.614527255296707	3.614527255296707	3.614527255296707
Anelloviridae	Gyrovirus	Gyrovirus GyV3	1163715	None	nonspecific_max-activity	taxon	NA	1588953476	1588953476	3	3	1	601280.0	311.75	5.174950711739805	89	1	1	1	1.0	3.389445960521698	3.450279176235199	3.267779529094696
Adenoviridae	Mastadenovirus	Simian adenovirus B	1165908	None	nonspecific_max-activity	taxon	NA	1588797632	1588797632	12	12	1	838076.0	1652.39	5.3037957412597	88	1	1	1	1.0	3.5056344717741013	3.501361846923828	3.501361846923828
Caliciviridae	Vesivirus	Canine calicivirus	1176484	None	nonspecific_max-activity	taxon	NA	1589120922	1589120922	4	4	1	654052.0	3093.81	5.216190615134049	90	1	1	1	1.0	3.4429132640361786	3.437375545501709	3.437375545501709
Caliciviridae	Sapovirus	Bat sapovirus TLC58/HK	1185359	None	nonspecific_max-activity	taxon	NA	1589119279	1589119279	1	1	1	553276.0	2317.52	5.406173468887454	88	1	1	1	1.0	3.6080121994018555	3.6080121994018555	3.6080121994018555
Adenoviridae	Aviadenovirus	Goose aviadenovirus A	1193420	None	nonspecific_max-activity	taxon	NA	1588709743	1588709743	1	1	1	610520.0	3191.77	5.419260979950076	88	1	1	1	1.0	3.6210997104644775	3.6210997104644775	3.6210997104644775
Circoviridae	Circovirus	Canine circovirus	1194757	None	nonspecific_max-activity	taxon	NA	1589141336	1589141336	87	87	1	1589684.0	944.58	4.937339380951094	89	1	1	1	1.0	3.151834629732987	3.259754955768585	2.4846280813217163
Caliciviridae	Lagovirus	Rabbit hemorrhagic disease virus	11976	None	nonspecific_max-activity	taxon	NA	1589112892	1589112892	85	85	1	1819732.0	4985.78	4.948322068707568	110	1	1	1	1.0	3.3592861161512486	3.3629079461097717	3.015757143497467
Caliciviridae	Vesivirus	Feline calicivirus	11978	None	nonspecific_max-activity	taxon	NA	1589122191	1589122191	46	46	1	1485308.0	2959.97	4.346024913587945	116	2	1	1	1.0	3.2978636441023452	3.366696834564209	3.0749332308769226
Caliciviridae	Norovirus	Norwalk virus	11983	None	nonspecific_max-activity	taxon	NA	1589116445	1589116445	1378	1375	1	9248900.0	49871.39	-1.4833428143208574	290	5	8	1	0.9425454545454546	2.978029698415236	3.3091591596603394	0.0
Anelloviridae	Gyrovirus	Gyrovirus 4	1214955	None	nonspecific_max-activity	taxon	NA	1588952960	1588952960	4	4	1	615720.0	237.47	5.28134304410184	88	1	1	1	1.0	3.4831817746162415	3.4831817746162415	3.4831817746162415
Anelloviridae	Lambdatorquevirus	Torque teno zalophus virus 1	1218490	None	nonspecific_max-activity	taxon	NA	1588958080	1588958080	1	1	1	543904.0	162.51	5.404591076386716	89	1	1	1	1.0	3.6190863251686096	3.6190863251686096	3.6190863251686096
Astroviridae	Avastrovirus	Avastrovirus 3	1239439	None	nonspecific_max-activity	taxon	NA	1589079349	1589079349	2	2	1	592724.0	2939.79	5.351520159678269	90	1	1	1	1.0	3.5782428085803986	3.5622368454933167	3.5622368454933167
