family	genus	species	segment	refseqs
Adenoviridae	Mastadenovirus	Human mastadenovirus A	None	NC_001460
Adenoviridae	Mastadenovirus	Human mastadenovirus B	None	NC_011202,NC_011203
Adenoviridae	Mastadenovirus	Human mastadenovirus C	None	NC_001405
Adenoviridae	Mastadenovirus	Human mastadenovirus D	None	NC_010956,NC_012959
Adenoviridae	Mastadenovirus	Human mastadenovirus E	None	NC_017825,NC_003266
Adenoviridae	Mastadenovirus	Human mastadenovirus F	None	NC_001454
Adenoviridae	Mastadenovirus	Human mastadenovirus G	None	NC_006879
Amalgaviridae	unknown	Zygosaccharomyces bailii virus Z	None	NC_003874
Anelloviridae	Alphatorquevirus	Simian torque teno virus 30	None	NC_026663
Anelloviridae	Alphatorquevirus	Simian torque teno virus 31	None	NC_026662
Anelloviridae	Alphatorquevirus	Simian torque teno virus 32	None	NC_026664
Anelloviridae	Alphatorquevirus	Simian torque teno virus 33	None	NC_026764
Anelloviridae	Alphatorquevirus	Simian torque teno virus 34	None	NC_026765
Anelloviridae	Alphatorquevirus	Torque teno virus 1	None	NC_002076
Anelloviridae	Alphatorquevirus	Torque teno virus 10	None	NC_014076
Anelloviridae	Alphatorquevirus	Torque teno virus 11	None	NC_038338
Anelloviridae	Alphatorquevirus	Torque teno virus 12	None	NC_014075
Anelloviridae	Alphatorquevirus	Torque teno virus 13	None	NC_038339
Anelloviridae	Alphatorquevirus	Torque teno virus 14	None	NC_014077
Anelloviridae	Alphatorquevirus	Torque teno virus 15	None	NC_014096
Anelloviridae	Alphatorquevirus	Torque teno virus 16	None	NC_014091
Anelloviridae	Alphatorquevirus	Torque teno virus 19	None	NC_014078
Anelloviridae	Alphatorquevirus	Torque teno virus 2	None	NC_014480
Anelloviridae	Alphatorquevirus	Torque teno virus 20	None	NC_038340
Anelloviridae	Alphatorquevirus	Torque teno virus 21	None	NC_038341
Anelloviridae	Alphatorquevirus	Torque teno virus 23	None	NC_038342
Anelloviridae	Alphatorquevirus	Torque teno virus 24	None	NC_038343
Anelloviridae	Alphatorquevirus	Torque teno virus 25	None	NC_014083
Anelloviridae	Alphatorquevirus	Torque teno virus 26	None	NC_014079
Anelloviridae	Alphatorquevirus	Torque teno virus 27	None	NC_014074
Anelloviridae	Alphatorquevirus	Torque teno virus 28	None	NC_014073
Anelloviridae	Alphatorquevirus	Torque teno virus 29	None	NC_038344
Anelloviridae	Alphatorquevirus	Torque teno virus 3	None	NC_014081
Anelloviridae	Alphatorquevirus	Torque teno virus 4	None	NC_014069
Anelloviridae	Alphatorquevirus	Torque teno virus 5	None	NC_038336
Anelloviridae	Alphatorquevirus	Torque teno virus 6	None	NC_014094
Anelloviridae	Alphatorquevirus	Torque teno virus 7	None	NC_014080
Anelloviridae	Alphatorquevirus	Torque teno virus 8	None	NC_014084
Anelloviridae	Alphatorquevirus	Torque teno virus 9	None	NC_038337
Anelloviridae	Betatorquevirus	TTV-like mini virus	None	NC_020498
Anelloviridae	Betatorquevirus	Torque teno mini virus 1	None	NC_014097
Anelloviridae	Betatorquevirus	Torque teno mini virus 10	None	NC_038345
Anelloviridae	Betatorquevirus	Torque teno mini virus 11	None	NC_038346
Anelloviridae	Betatorquevirus	Torque teno mini virus 12	None	NC_038347
Anelloviridae	Betatorquevirus	Torque teno mini virus 18	None	NC_030297
Anelloviridae	Betatorquevirus	Torque teno mini virus 2	None	NC_014086
Anelloviridae	Betatorquevirus	Torque teno mini virus 3	None	NC_014088
Anelloviridae	Betatorquevirus	Torque teno mini virus 4	None	NC_014090
Anelloviridae	Betatorquevirus	Torque teno mini virus 5	None	NC_014089
Anelloviridae	Betatorquevirus	Torque teno mini virus 6	None	NC_014095
Anelloviridae	Betatorquevirus	Torque teno mini virus 7	None	NC_014082
Anelloviridae	Betatorquevirus	Torque teno mini virus 8	None	NC_014068
Anelloviridae	Betatorquevirus	Torque teno mini virus 9	None	NC_002195
Anelloviridae	Betatorquevirus	Torque teno mini virus ALA22	None	NC_025726
Anelloviridae	Betatorquevirus	Torque teno mini virus ALH8	None	NC_025727
Anelloviridae	Deltatorquevirus	Torque teno tupaia virus	None	NC_038348
Anelloviridae	Epsilontorquevirus	Torque teno tamarin virus	None	NC_014085
Anelloviridae	Etatorquevirus	Torque teno felis virus	None	NC_014072
Anelloviridae	Etatorquevirus	Torque teno felis virus 2	None	NC_038349
Anelloviridae	Gammatorquevirus	Torque teno midi virus 1	None	NC_009225
Anelloviridae	Gammatorquevirus	Torque teno midi virus 10	None	NC_038357
Anelloviridae	Gammatorquevirus	Torque teno midi virus 11	None	NC_038358
Anelloviridae	Gammatorquevirus	Torque teno midi virus 12	None	NC_038359
Anelloviridae	Gammatorquevirus	Torque teno midi virus 13	None	NC_038360
Anelloviridae	Gammatorquevirus	Torque teno midi virus 14	None	NC_038361
Anelloviridae	Gammatorquevirus	Torque teno midi virus 15	None	NC_038362
Anelloviridae	Gammatorquevirus	Torque teno midi virus 2	None	NC_014093
Anelloviridae	Gammatorquevirus	Torque teno midi virus 3	None	NC_038350
Anelloviridae	Gammatorquevirus	Torque teno midi virus 4	None	NC_038351
Anelloviridae	Gammatorquevirus	Torque teno midi virus 5	None	NC_038352
Anelloviridae	Gammatorquevirus	Torque teno midi virus 6	None	NC_038353
Anelloviridae	Gammatorquevirus	Torque teno midi virus 7	None	NC_038354
Anelloviridae	Gammatorquevirus	Torque teno midi virus 8	None	NC_038355
Anelloviridae	Gammatorquevirus	Torque teno midi virus 9	None	NC_038356
Anelloviridae	Gyrovirus	Avian gyrovirus 2	None	NC_015396
Anelloviridae	Gyrovirus	Chicken anemia virus	None	NC_001427
Anelloviridae	Gyrovirus	Gyrovirus 4	None	NC_018401
Anelloviridae	Gyrovirus	Gyrovirus GyV3	None	NC_017091
Anelloviridae	Gyrovirus	Gyrovirus GyV7-SF	None	NC_025215
Anelloviridae	Gyrovirus	Gyrovirus Tu243	None	NC_022788
Anelloviridae	Gyrovirus	Gyrovirus Tu789	None	NC_022789
Anelloviridae	Iotatorquevirus	Torque teno sus virus 1a	None	NC_014070
Anelloviridae	Iotatorquevirus	Torque teno sus virus 1b	None	NC_027059
Anelloviridae	Kappatorquevirus	Torque teno sus virus k2a	None	NC_014092
Anelloviridae	Kappatorquevirus	Torque teno sus virus k2b	None	NC_038363
Anelloviridae	Lambdatorquevirus	Torque teno zalophus virus 1	None	NC_012126
Anelloviridae	Thetatorquevirus	Torque teno canis virus	None	NC_014071
Anelloviridae	Zetatorquevirus	Torque teno douroucouli virus	None	NC_014087
Anelloviridae	unclassified	Giant panda anellovirus	None	NC_035192
Anelloviridae	unknown	Gorilla anellovirus	None	NC_030650
Anelloviridae	unknown	Rodent Torque teno virus 2	None	NC_025966
Anelloviridae	unknown	Seal anellovirus 2	None	NC_024891
Anelloviridae	unknown	Seal anellovirus 3	None	NC_024890
Anelloviridae	unknown	Seal anellovirus TFFN/USA/2006	None	NC_015212
