family	genus	species	taxid	segment	refseqs	neighbor-count
Adenoviridae	Atadenovirus	Bovine adenovirus E	130500	None	NC_020074	1
Adenoviridae	Atadenovirus	Bovine atadenovirus D	130499	None	NC_002685	1
Adenoviridae	Atadenovirus	Deer atadenovirus A	2169706	None	NC_035619	7
Adenoviridae	Atadenovirus	Duck atadenovirus A	130328	None	NC_001813	6
Adenoviridae	Atadenovirus	Lizard atadenovirus A	2003672	None	NC_024684	1
Adenoviridae	Atadenovirus	Ovine atadenovirus D	130327	None	NC_004037	1
Adenoviridae	Atadenovirus	Psittacine atadenovirus A	2003673	None	NC_025962	1
Adenoviridae	Atadenovirus	Snake atadenovirus A	1146872	None	NC_009989	1
Adenoviridae	Aviadenovirus	Duck aviadenovirus B	1534553	None	NC_024486	2
Adenoviridae	Aviadenovirus	Falcon aviadenovirus A	692069	None	NC_043092	1
Adenoviridae	Aviadenovirus	Fowl aviadenovirus A	190061	None	NC_001720	4
Adenoviridae	Aviadenovirus	Fowl aviadenovirus B	190062	None	NC_021221	1
Adenoviridae	Aviadenovirus	Fowl aviadenovirus C	190063	None	NC_015323	38
Adenoviridae	Aviadenovirus	Fowl aviadenovirus D	190064	None	NC_000899	12
Adenoviridae	Aviadenovirus	Fowl aviadenovirus E	190065	None	NC_038332,NC_014969,NC_014969,NC_038332	10
Adenoviridae	Aviadenovirus	Goose aviadenovirus A	1193420	None	NC_017979	1
Adenoviridae	Aviadenovirus	Pigeon aviadenovirus A	1548417	None	NC_024474	1
Adenoviridae	Aviadenovirus	Pigeon aviadenovirus B	2169708	None	NC_031503	1
Adenoviridae	Aviadenovirus	Psittacine aviadenovirus B	2169709	None	NC_039032	1
Adenoviridae	Aviadenovirus	Turkey aviadenovirus B	1146875	None	NC_014564	1
Adenoviridae	Aviadenovirus	Turkey aviadenovirus C	1962301	None	NC_022612	1
Adenoviridae	Aviadenovirus	Turkey aviadenovirus D	1962302	None	NC_022613	1
Adenoviridae	Mastadenovirus	Bat mastadenovirus	740971	None	NC_031948	1
Adenoviridae	Mastadenovirus	Bat mastadenovirus A	1146877	None	NC_016895	2
Adenoviridae	Mastadenovirus	Bat mastadenovirus B	1146874	None	NC_015932	2
Adenoviridae	Mastadenovirus	Bat mastadenovirus C	2015370	None	NC_029902,NC_029898,NC_029899,NC_029899,NC_029902,NC_029898	2
Adenoviridae	Mastadenovirus	Bat mastadenovirus D	2015372	None	NC_030860	1
Adenoviridae	Mastadenovirus	Bat mastadenovirus E	2015374	None	NC_030874	1
Adenoviridae	Mastadenovirus	Bat mastadenovirus F	2015375	None	NC_034626	1
Adenoviridae	Mastadenovirus	Bat mastadenovirus G	2015376	None	NC_035072	1
Adenoviridae	Mastadenovirus	Bovine mastadenovirus A	129953	None	NC_044934	1
Adenoviridae	Mastadenovirus	Bovine mastadenovirus B	129950	None	NC_001876	2
Adenoviridae	Mastadenovirus	Bovine mastadenovirus C	129952	None	NC_043093	1
Adenoviridae	Mastadenovirus	Canine mastadenovirus A	10537	None	NC_001734	5
Adenoviridae	Mastadenovirus	Cervid adenovirus 1	2003578	None	NC_034834	1
Adenoviridae	Mastadenovirus	Dolphin mastadenovirus B	2170001	None	NC_038333,NC_044960	2
Adenoviridae	Mastadenovirus	Equine mastadenovirus A	129954	None	NC_030792	2
Adenoviridae	Mastadenovirus	Equine mastadenovirus B	129955	None	NC_027705	1
Adenoviridae	Mastadenovirus	Human mastadenovirus A	129875	None	NC_001460	7
Adenoviridae	Mastadenovirus	Human mastadenovirus B	108098	None	NC_011203,NC_011202	240
Adenoviridae	Mastadenovirus	Human mastadenovirus C	129951	None	NC_001405	60
Adenoviridae	Mastadenovirus	Human mastadenovirus D	130310	None	NC_010956,NC_012959	195
Adenoviridae	Mastadenovirus	Human mastadenovirus E	130308	None	NC_017825	70
Adenoviridae	Mastadenovirus	Human mastadenovirus F	130309	None	NC_001454	17
Adenoviridae	Mastadenovirus	Human mastadenovirus G	536079	None	NC_006879	6
Adenoviridae	Mastadenovirus	Murine mastadenovirus A	129956	None	NC_000942	1
Adenoviridae	Mastadenovirus	Murine mastadenovirus B	1146873	None	NC_014899	1
Adenoviridae	Mastadenovirus	Murine mastadenovirus C	696859	None	NC_012584	1
Adenoviridae	Mastadenovirus	Ovine mastadenovirus A	114424	None	NC_002513	1
Adenoviridae	Mastadenovirus	Platyrrhini mastadenovirus A	1986022	None	NC_020487	1
Adenoviridae	Mastadenovirus	Polar bear mastadenovirus 1	2250215	None	NC_040811	1
Adenoviridae	Mastadenovirus	Porcine mastadenovirus B	130370	None	NC_038334	1
Adenoviridae	Mastadenovirus	Porcine mastadenovirus C	130371	None	NC_002702	1
Adenoviridae	Mastadenovirus	Sea lion mastadenovirus A	1986024	None	NC_024150	1
Adenoviridae	Mastadenovirus	Simian adenovirus 19	38416	None	NC_028107	1
Adenoviridae	Mastadenovirus	Simian adenovirus 8	413258	None	NC_028113	1
Adenoviridae	Mastadenovirus	Simian adenovirus B	1165908	None	NC_034382	12
Adenoviridae	Mastadenovirus	Simian mastadenovirus A	298334	None	NC_006144	3
Adenoviridae	Mastadenovirus	Simian mastadenovirus B	1962299	None	NC_015225	1
Adenoviridae	Mastadenovirus	Simian mastadenovirus C	1962300	None	NC_021168	3
Adenoviridae	Mastadenovirus	Simian mastadenovirus D	1986017	None	NC_028103	1
Adenoviridae	Mastadenovirus	Simian mastadenovirus E	1986018	None	NC_028105	1
Adenoviridae	Mastadenovirus	Simian mastadenovirus F	1986019	None	NC_022266	1
Adenoviridae	Mastadenovirus	Simian mastadenovirus G	1986020	None	NC_020485	1
Adenoviridae	Mastadenovirus	Simian mastadenovirus H	1986021	None	NC_025678	1
Adenoviridae	Mastadenovirus	Simian mastadenovirus I	2170002	None	NC_032105	1
Adenoviridae	Mastadenovirus	Skunk mastadenovirus A	1986023	None	NC_027708	1
Adenoviridae	Mastadenovirus	Squirrel mastadenovirus A	2170003	None	NC_035207	1
Adenoviridae	Mastadenovirus	Tree shrew mastadenovirus A	242710	None	NC_044936	2
Adenoviridae	Mastadenovirus	unidentified adenovirus	10535	None	NC_030116	4
Adenoviridae	Siadenovirus	Frog siadenovirus A	298331	None	NC_002501	1
Adenoviridae	Siadenovirus	Great tit siadenovirus A	1146876	None	NC_043405	1
Adenoviridae	Siadenovirus	Raptor siadenovirus A	691961	None	NC_015455	1
Adenoviridae	Siadenovirus	Skua siadenovirus A	886980	None	NC_016437	1
Adenoviridae	Siadenovirus	Turkey siadenovirus A	298333	None	NC_001958	2
Adomaviridae	unknown	Rhynchobatus djiddensis adomavirus 1	2175117	None	NC_040625	1
Adomaviridae	unknown	Symphysodon discus adomavirus 1	2175118	None	NC_040698	1
Alloherpesviridae	Batrachovirus	Ranid herpesvirus 1	85655	None	NC_008211	1
Alloherpesviridae	Batrachovirus	Ranid herpesvirus 2	389214	None	NC_008210	1
Alloherpesviridae	Batrachovirus	Ranid herpesvirus 3	1987509	None	NC_034618	1
Alloherpesviridae	Cyprinivirus	Anguillid herpesvirus 1	150286	None	NC_013668	2
Alloherpesviridae	Cyprinivirus	Cyprinid herpesvirus 1	317858	None	NC_019491	1
Alloherpesviridae	Cyprinivirus	Cyprinid herpesvirus 2	317878	None	NC_019495	4
Alloherpesviridae	Cyprinivirus	Cyprinid herpesvirus 3	180230	None	NC_009127	20
Alloherpesviridae	Ictalurivirus	Acipenserid herpesvirus 2	320884	None	NC_043042	1
Alloherpesviridae	Ictalurivirus	Ictalurid herpesvirus 1	10401	None	NC_001493	1
Alloherpesviridae	Ictalurivirus	Ictalurid herpesvirus 2	508441	None	NC_036579	1
