name	taxid
Lesser panda anellovirus	2012640
Rodent Torque teno virus 2	1514665
Rodent Torque teno virus 3	2054610
Rodent Torque teno virus 4	2054611
Rodent Torque teno virus 6	2054613
Rodent Torque teno virus 7	2054614
Seal anellovirus 2	1427157
Seal anellovirus 3	1427156
Seal anellovirus 4	1566011
Seal anellovirus TFFN/USA/2006	991022
Small anellovirus	393049
Torque teno Leptonychotes weddellii virus-2	2012677
Torque teno Tadarida brasiliensis virus	1543419
Torque teno indri virus 1	2010248
Torque teno virus	68887
Simian torque teno virus 30	1619218
Simian torque teno virus 31	1619219
Simian torque teno virus 32	1619220
Simian torque teno virus 33	1629656
Simian torque teno virus 34	1629657
Torque teno virus 1	687340
Torque teno virus 10	687349
Torque teno virus 11	687350
Torque teno virus 12	687351
Torque teno virus 13	687352
Torque teno virus 14	687353
Torque teno virus 15	687354
Torque teno virus 16	687355
Torque teno virus 19	687358
Torque teno virus 2	687341
Torque teno virus 20	687359
Torque teno virus 21	687360
Torque teno virus 23	687362
Torque teno virus 24	687363
Torque teno virus 25	687364
Torque teno virus 26	687365
Torque teno virus 27	687366
Torque teno virus 28	687367
Torque teno virus 29	687368
Torque teno virus 3	687342
Torque teno virus 4	687343
Torque teno virus 5	687344
Torque teno virus 6	687345
Torque teno virus 7	687346
Torque teno virus 8	687347
Torque teno virus 9	687348
TTV-like mini virus	93678
Torque teno mini virus 1	687369
Torque teno mini virus 10	2065036
Torque teno mini virus 11	2065037
Torque teno mini virus 12	2065038
Torque teno mini virus 18	1859149
Torque teno mini virus 2	687370
Torque teno mini virus 3	687371
Torque teno mini virus 4	687372
Torque teno mini virus 5	687373
Torque teno mini virus 6	687374
Torque teno mini virus 7	687375
Torque teno mini virus 8	687376
Torque teno mini virus 9	687377
Torque teno mini virus ALA22	1535290
Torque teno mini virus ALH8	1535291
Torque teno tupaia virus	687381
Torque teno tamarin virus	687382
Torque teno felis virus	687384
Torque teno felis virus 2	2065043
Torque teno midi virus 1	687379
Torque teno midi virus 10	2065051
Torque teno midi virus 11	2065052
Torque teno midi virus 12	2065053
Torque teno midi virus 13	2065054
Torque teno midi virus 14	2065055
Torque teno midi virus 15	2065056
Torque teno midi virus 2	687380
Torque teno midi virus 3	2065044
Torque teno midi virus 4	2065045
Torque teno midi virus 5	2065046
Torque teno midi virus 6	2065047
Torque teno midi virus 7	2065048
Torque teno midi virus 8	2065049
Torque teno midi virus 9	2065050
Ashy storm petrel gyrovirus	2249930
Avian gyrovirus 2	1002273
Chicken anemia virus	12618
Gyrovirus 4	1214955
Gyrovirus GyV3	1163715
Gyrovirus GyV7-SF	1548711
Gyrovirus GyV8	1670973
Gyrovirus Tu243	1415627
Gyrovirus Tu789	1415628
Torque teno sus virus 1a	687386
Torque teno sus virus 1b	687387
Torque teno sus virus k2a	1968861
Torque teno sus virus k2b	1239832
Torque teno seal virus 8	2560820
Torque teno zalophus virus 1	1218490
Torque teno equus virus 1	1673633
Torque teno canis virus	687385
Torque teno douroucouli virus	687383
Morogoro mammarenavirus	573900
Wenling frogfish arenavirus 1	2116466
Wenling frogfish arenavirus 2	2116467
Mopeia Lassa virus reassortant 29	300180
Haartman hartmanivirus	2169909
Allpahuayo mammarenavirus	144752
Apore mammarenavirus	2059312
Argentinian mammarenavirus	2169991
Bear Canyon mammarenavirus	192848
Brazilian mammarenavirus	2169992
Cali mammarenavirus	2169993
Chapare mammarenavirus	499556
Cupixi mammarenavirus	208899
Flexal mammarenavirus	45220
Gairo mammarenavirus	1535802
Guanarito mammarenavirus	45219
Ippy mammarenavirus	55096
Lassa mammarenavirus	11620
Latino mammarenavirus	45221
Loei River mammarenavirus	1437126
Lujo mammarenavirus	649188
Luna mammarenavirus	883876
Lunk mammarenavirus	1912901
Lymphocytic choriomeningitis mammarenavirus	11623
Machupo mammarenavirus	11628
Mariental mammarenavirus	1642436
Merino Walk mammarenavirus	743685
Mobala mammarenavirus	55097
Mopeia mammarenavirus	11629
Okahandja mammarenavirus	1642458
Oliveros mammarenavirus	42764
Paraguayan mammarenavirus	2169994
Pirital mammarenavirus	49891
Ryukyu mammarenavirus	2169995
Serra do Navio mammarenavirus	2169996
Solwezi mammarenavirus	2030986
Souris mammarenavirus	2169997
Tacaribe mammarenavirus	11631
Tamiami mammarenavirus	45223
Wenzhou mammarenavirus	1588685
Whitewater Arroyo mammarenavirus	46919
Alethinophid 2 reptarenavirus	1653398
California reptarenavirus	2170175
Giessen reptarenavirus	2170176
Golden reptarenavirus	2170177
Ordinary reptarenavirus	2170178
Rotterdam reptarenavirus	2170179
Porcine reproductive and respiratory syndrome virus	28344
Rodent arterivirus	1806636
Southwest baboon virus 1	1546178
Alphaarterivirus equid	2499620
Betaarterivirus chinrav 1	2499930
Betaarterivirus suid 1	2499680
Betaarterivirus suid 2	2499685
Deltaarterivirus pejah	2499623
Epsilonarterivirus hemcep	2501964
Epsilonarterivirus safriver	2501965
Etaarterivirus ugarco 1	2501969
Iotaarterivirus debrazmo	2501947
Iotaarterivirus kibreg 1	2501948
Kappaarterivirus wobum	2499677
Lambdaarterivirus afriporav	2499621
Muarterivirus afrigant	2499618
Lactate dehydrogenase-elevating virus	11048
Kafue kinda chacma baboon virus	1823757
Mikumi yellow baboon virus 1	1546177
Simian hemorrhagic fever virus	38143
Zetaarterivirus ugarco 1	2499932
African swine fever virus	10497
Astrovirus Er/SZAL6/HUN/2011	1671382
Astrovirus MLB2	683172
Astrovirus MLB3	1247114
Astrovirus VA3	683174
Astrovirus VA4	1247113
Bastrovirus BAS-1	2025396
Bastrovirus BAS-2	2025397
Bastrovirus BAS-3	2025398
Bastrovirus-like_virus/VietNam/Bat/17819_21	1906170
Bastrovirus/VietNam/Porcine/17489_85	1906173
Bovine astrovirus CH13	1522059
Mouse astrovirus M-52/USA/2008	1074210
Murine astrovirus	1141625
Porcine astrovirus 5	1093928
Sichuan takin astrovirus	2220003
Avastrovirus 3	1239439
Chicken astrovirus	336959
Duck astrovirus GII.A	905828
Goose astrovirus	1349999
Turkey astrovirus	70793
Astrovirus MLB1	568715
Astrovirus wild boar/WBAstV-1/2011/HUN	1137931
Bovine astrovirus	1435485
