family	genus	species
Caliciviridae	Vesivirus	Canine vesivirus
Paramyxoviridae	Avulavirus	Avian avulavirus 4
Coronaviridae	Torovirus	Porcine torovirus
Caliciviridae		Atlantic salmon calicivirus
Coronaviridae		Chinook salmon nidovirus 1
Arteriviridae	Simartevirus	Free State vervet virus
Arteriviridae	Simartevirus	Kibale red colobus virus 1
