year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	162	118	.7283
2009	292	221	.7568
2010	255	190	.7450
2011	149	117	.7852
2012	244	220	.9016
2013	140	90	.6428
2014	246	172	.6991
2015	195	174	.8923
2016	134	129	.9626
2017	47	44	.9361
2018	0	0	0
