year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	44	16	.3636
2009	32	14	.4375
2010	29	23	.7931
2011	33	24	.7272
2012	13	11	.8461
2013	40	33	.8250
2014	4	3	.7500
2015	15	12	.8000
2016	141	138	.9787
2017	0	0	0
2018	0	0	0
