year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	862	458	.5313
2009	6455	6045	.9364
2010	1890	1577	.8343
2011	1604	1284	.8004
2012	1153	750	.6504
2013	1446	1153	.7973
2014	1089	857	.7869
2015	1219	941	.7719
2016	2216	2093	.9444
2017	970	929	.9577
2018	9	9	1.0000
