year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	123	65	.5284
2009	121	96	.7933
2010	155	132	.8516
2011	122	93	.7622
2012	90	76	.8444
2013	158	149	.9430
2014	93	82	.8817
2015	71	60	.8450
2016	80	70	.8750
2017	13	13	1.0000
2018	0	0	0
