name	N1	N2	N3	N4	N5	N6	N7	N8	N9
N1-u1-g1	0.7050705863691641	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u1-g2	0.04874953735525829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u1-g3	0.10246920107862317	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N2-u1-g1	0.0	0.8065302610192179	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N2-u1-g2	0.0	0.8276603881824266	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N2-u1-g3	0.0	0.6187494024285305	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N2-u1-g4	0.0	0.7753609331676068	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N2-u1-g5	0.0	0.7297542786117219	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N3-u1-g1	0.0	0.0	0.5175438596491229	0.0	0.0	0.0	0.0	0.0	0.0
N3-u1-g2	0.0	0.0	0.2046783625730994	0.0	0.0	0.0	0.0	0.0	0.0
N3-u1-g3	0.0	0.0	0.10526315789473684	0.0	0.0	0.0	0.0	0.0	0.0
N3-u1-g4	0.0	0.0	0.024366471734892786	0.0	0.0	0.0	0.0	0.0	0.0
N4-u1-g1	0.0	0.0	0.0	0.6649484536082474	0.0	0.0	0.0	0.0	0.0
N4-u1-g2	0.0	0.0	0.0	0.7474226804123711	0.0	0.0	0.0	0.0	0.0
N4-u1-g3	0.0	0.0	0.0	0.10824742268041238	0.0	0.0	0.0	0.0	0.0
N4-u1-g4	0.0	0.0	0.0	0.14948453608247422	0.0	0.0	0.0	0.0	0.0
N5-u1-g1	5.287368476709142e-05	0.0	0.0	0.0	0.7207977207977208	0.0	0.0	0.343804537521815	0.0
N5-u1-g2	5.287368476709142e-05	0.0	0.0	0.0	0.02849002849002849	0.0	0.0	0.1012216404886562	0.0
N5-u1-g3	0.0011632210648760111	0.0	0.0	0.0	0.19658119658119658	0.0	0.0	0.008726003490401396	0.0
N6-u1-g1	0.0	0.0	0.0	0.0	0.0	0.12124463519313304	0.0	0.0	0.0
N6-u1-g2	0.0	0.0	0.0	0.0	0.0	0.4248927038626609	0.0	0.0	0.0
N6-u1-g3	0.0	0.0	0.0	0.0	0.0	0.43293991416309013	0.0	0.0	0.0
N6-u1-g4	0.0	0.0	0.0	0.0	0.0	0.0611587982832618	0.0	0.0005817335660267597	0.0
N6-u1-g5	0.0	0.0	0.0	0.0	0.0	0.24195278969957082	0.0	0.0005817335660267597	0.0
N7-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.22298456260720412	0.0	0.0
N7-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.6552315608919382	0.0	0.0
N7-u1-g3	0.0	0.0	0.0	0.0	0.0	0.0	0.11149228130360206	0.0	0.0
N7-u1-g4	0.0	0.0	0.0	0.0	0.0	0.0	0.5145797598627787	0.0	0.0
N8-u1-g1	0.0	0.0	0.0	0.0	0.017094017094017096	0.0	0.0	0.5945317044793484	0.0
N8-u1-g2	0.0	0.0	0.0	0.0	0.014245014245014245	0.0	0.0	0.5561372891215823	0.0
N8-u1-g3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1518324607329843	0.0
N9-u1-g1	0.0	0.0	0.0	0.0	0.0	0.000536480686695279	0.0	0.0	0.1183533447684391
N9-u1-g2	0.0	0.0	0.0	0.0	0.0	0.000536480686695279	0.0	0.0	0.12264150943396226
N9-u1-g3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7435677530017153
N9-u1-g4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15866209262435677
