name	N1	N2	N3	N4	N5	N6	N7	N8	N9
N1-u1	0.8563950721725797	0.0001434171526914619	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N2-u1	0.0	0.8500334640022946	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N3-u1	0.0	0.0	0.8323586744639376	0.0	0.0	0.0	0.0	0.0	0.0
N4-u1	0.0	0.0	0.0	0.9278350515463918	0.0	0.0	0.0	0.0	0.0
N5-u1	0.0007931052715063713	0.0	0.0	0.05154639175257732	0.9458689458689459	0.0	0.0	0.8842350203606748	0.0
N6-u1	0.0	0.0	0.0	0.0	0.0	0.8358369098712446	0.0	0.0005817335660267597	0.0
N7-u1	0.0	0.0	0.0	0.0	0.0	0.0	0.9193825042881647	0.0	0.0
N8-u1	0.00042298947813673135	0.0	0.0	0.020618556701030927	0.9287749287749287	0.0	0.0	0.8278068644560791	0.0
N9-u1	0.0	0.0	0.0	0.0	0.0	0.000536480686695279	0.0	0.0	0.9785591766723842
