name	N1	N2	N3	N4	N5	N6	N7	N8	N9
N1-u1	0.8562893248030455	9.561143512764126e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N2-u1	0.0	0.8488383210631991	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N3-u1	0.0	0.0	0.8323586744639376	0.0	0.0	0.0	0.0	0.0	0.0
N4-u1	0.0	0.0	0.0	0.9123711340206185	0.0	0.0	0.0	0.0	0.0
N5-u1	0.0012160947496431026	0.0	0.0	0.0	0.9458689458689459	0.0	0.0	0.4351367073880163	0.0
N6-u1	0.0	0.0	0.0	0.0	0.0	0.8353004291845494	0.0	0.0005817335660267597	0.0
N7-u1	0.0	0.0	0.0	0.0	0.0	0.0	0.9159519725557461	0.0	0.0
N8-u1	0.0	0.0	0.0	0.0	0.019943019943019943	0.0	0.0	0.8278068644560791	0.0
N9-u1	0.0	0.0	0.0	0.0	0.0	0.000536480686695279	0.0	0.0	0.9785591766723842
