year	num.seqs	num.covered	frac.covered
2007	1	0	0
2008	565	63	.1115
2009	7656	6940	.9064
2010	2097	1842	.8783
2011	1874	1587	.8468
2012	1280	964	.7531
2013	1871	1641	.8770
2014	1371	1146	.8358
2015	1286	1044	.8118
2016	2782	2575	.9255
2017	431	378	.8770
2018	0	0	0
