African cassava mosaic virus	1
African horse sickness virus	1
African swine fever virus	1
Ageratum enation virus	1
Ageratum leaf curl betasatellite	1
Ageratum yellow leaf curl betasatellite	1
Ageratum yellow vein China betasatellite	1
Ageratum yellow vein virus	1
Aichivirus C	1
Aino orthobunyavirus	1
Alfalfa leaf curl virus	1
Alfalfa mosaic virus	1
Alphaarterivirus equid	1
Alphacoronavirus 1	1
Alphamesonivirus 1	1
Alphapapillomavirus 10	1
Alphapapillomavirus 11	1
Alphapapillomavirus 13	1
Alphapapillomavirus 2	1
Alphapapillomavirus 4	1
Alphapapillomavirus 6	1
Alternanthera yellow vein virus	1
Ambystoma tigrinum virus	1
Anseriform dependoparvovirus 1	1
Aphid lethal paralysis virus	1
Apple hammerhead viroid-like circular RNA	1
Apple mosaic virus	1
Aquareovirus C	1
Argentinian mammarenavirus	1
Australian grapevine viroid	1
Aves polyomavirus 1	1
Avian avulavirus 4	1
Avian coronavirus	1
Avian gyrovirus 2	1
Avian leukosis virus	1
Avocado sunblotch viroid	1
Bagaza virus	1
Bamboo mosaic virus	1
Bamboo mosaic virus satellite RNA	1
Barley mild mosaic virus	1
Barley stripe mosaic virus	1
Barley yellow dwarf virus GAV	1
Barley yellow dwarf virus PAS	1
Barley yellow dwarf virus PAV	1
Barley yellow mosaic virus	1
Basavirus sp.	1
Bat coronavirus	1
Bean common mosaic necrosis virus	1
Bean common mosaic virus	1
Bean golden mosaic virus	1
Bean pod mottle virus	1
Bean yellow mosaic virus	1
Beet black scorch virus	1
Beet curly top Iran virus	1
Beet curly top virus	1
Beet necrotic yellow vein virus	1
Beet western yellows virus	1
Beihai picorna-like virus 15	1
Beihai picorna-like virus 35	1
Bell pepper alphaendornavirus	1
Betaarterivirus suid 2	1
Betacoronavirus 1	1
Bhendi yellow vein betasatellite	1
Big Sioux River virus	1
Blackberry chlorotic ringspot virus	1
Black queen cell virus	1
Blainvillea yellow spot virus	1
Bombyx mori nucleopolyhedrovirus	1
Bovine alphaherpesvirus 1	1
Bovine astrovirus	1
Bovine leukemia virus	1
Bovine respirovirus 3	1
Brassica yellows virus	1
Brucella virus Tb	1
Bundibugyo ebolavirus	1
Cali mammarenavirus	1
Canine astrovirus	1
Canine morbillivirus	1
Canna yellow streak virus	1
Cardamom bushy dwarf virus	1
Cardiovirus A	1
Carnivore amdoparvovirus 1	1
Carnivore bocaparvovirus 1	1
Carnivore protoparvovirus 1	1
Carp sprivivirus	1
Cassava brown streak virus	1
Castlerea virus	1
Cauliflower mosaic virus	1
Chayote yellow mosaic virus	1
Cherry green ring mottle virus	1
Cherry leaf roll virus	1
Cherry virus A	1
Chicken anemia virus	1
Chickpea chlorosis Australia virus	1
Chikungunya virus	1
Chilli leaf curl alphasatellite	1
Chilli veinal mottle virus	1
Chloris striate mosaic virus	1
Chrysanthemum stunt viroid	1
Circovirus sp.	1
Citrus chlorotic dwarf associated virus	1
Citrus tristeza virus	1
Citrus vein enation virus	1
Citrus viroid VI	1
Citrus yellow mosaic virus	1
Citrus yellow vein clearing virus	1
Cleome leaf crumple virus	1
Common midwife toad virus	1
Corchorus golden mosaic virus	1
Cordoba virus	1
Coronavirus HKU15	1
Cotton leaf curl Alabad virus	1
Cotton leaf curl Burewala alphasatellite	1
Cotton leaf curl Burewala virus	1
Cotton leaf curl Gezira alphasatellite	1
Cotton leaf curl Gezira virus	1
Cotton leaf curl virus	1
Cowpox virus	1
Croton yellow vein mosaic virus	1
Cryphonectria hypovirus 1	1
Cucumber green mottle mosaic virus	1
Cucumber mosaic virus	1
Cucurbit chlorotic yellows virus	1
Cymbidium mosaic virus	1
Cypovirus 1	1
Cyprinid herpesvirus 3	1
Decapod hepandensovirus 1	1
Decapod penstyldensovirus 1	1
Deformed wing virus	1
Deltaarterivirus hemfev	1
Dioscorea bacilliform AL virus	1
Dromedary camel bocaparvovirus 1	1
Dromedary camel bocaparvovirus 2	1
East African cassava mosaic Cameroon virus	1
East African cassava mosaic Kenya virus	1
East African cassava mosaic Malawi virus	1
East African cassava mosaic virus	1
East African cassava mosaic Zanzibar virus	1
East Asian Passiflora virus	1
Eastern equine encephalitis virus	1
Eel River basin pequenovirus	1
Enterovirus D	1
Enterovirus E	1
Enzootic nasal tumour virus of goats	1
Epsilonarterivirus safriver	1
Equid alphaherpesvirus 1	1
Equid alphaherpesvirus 4	1
Equine hepacivirus	1
Escherichia virus G4	1
Escherichia virus M13	1
Etaarterivirus ugarco 1	1
Euphorbia caput-medusae latent virus	1
Euphorbia yellow mosaic alphasatellite	1
Euphorbia yellow mosaic virus	1
European bat 1 lyssavirus	1
European bat 2 lyssavirus	1
European mountain ash ringspot-associated emaravirus	1
Faba bean necrotic stunt virus	1
Faba bean necrotic yellows virus	1
Felid alphaherpesvirus 1	1
Feline foamy virus	1
Feline leukemia virus	1
Feline morbillivirus	1
Fig mosaic emaravirus	1
Flanders hapavirus	1
Fowl aviadenovirus C	1
Fowl aviadenovirus D	1
Fowlpox virus	1
Frog virus 3	1
Gallid alphaherpesvirus 1	1
Gallid alphaherpesvirus 2	1
Galliform aveparvovirus 1	1
Getah virus	1
Gossypium mustelinum symptomless alphasatellite	1
Grapevine fanleaf virus satellite RNA	1
Grapevine geminivirus A	1
Grapevine leafroll-associated virus 2	1
Grapevine Pinot gris virus	1
Grapevine red blotch virus	1
Grapevine rupestris stem pitting-associated virus	1
Groundnut bud necrosis tospovirus	1
Groundnut rosette virus satellite RNA	1
Guanarito mammarenavirus	1
Guar leaf curl alphasatellite	1
Guaroa orthobunyavirus	1
Helicoverpa armigera nucleopolyhedrovirus	1
Hendra henipavirus	1
Highlands J virus	1
Homalodisca coagulata virus 1	1
Homalodisca vitripennis reovirus	1
Honeysuckle yellow vein virus	1
Human alphaherpesvirus 1	1
Human alphaherpesvirus 2	1
Human alphaherpesvirus 3	1
Human associated cyclovirus 8	1
Human betaherpesvirus 5	1
Human coronavirus 229E	1
Human coronavirus HKU1	1
Human coronavirus NL63	1
Human gammaherpesvirus 4	1
Human gammaherpesvirus 8	1
Human mastadenovirus B	1
Human mastadenovirus C	1
Human mastadenovirus D	1
Human mastadenovirus E	1
Human mastadenovirus F	1
Human metapneumovirus	1
Human orthopneumovirus	1
Human polyomavirus 10	1
Human polyomavirus 1	1
Human polyomavirus 2	1
Human polyomavirus 3	1
Human polyomavirus 4	1
Human polyomavirus 5	1
Human polyomavirus 6	1
Human polyomavirus 7	1
Human polyomavirus 8	1
Human respirovirus 1	1
Human respirovirus 3	1
Human rubulavirus 2	1
Human rubulavirus 4	1
Human smacovirus 1	1
Imjin thottimvirus	1
Impatiens necrotic spot tospovirus	1
Indiana vesiculovirus	1
Indian cassava mosaic virus	1
Infectious bursal disease virus	1
Influenza A virus	1
Influenza B virus	1
Influenza C virus	1
Influenza D virus	1
Iresine viroid 1	1
Israeli acute paralysis virus	1
Japanese encephalitis virus	1
Kyasanur Forest disease virus	1
La Crosse orthobunyavirus	1
La Jolla virus	1
Lettuce mosaic virus	1
Lily symptomless virus	1
Lumpy skin disease virus	1
Lymantria dispar multiple nucleopolyhedrovirus	1
Lymphocytic choriomeningitis mammarenavirus	1
Macaca mulatta polyomavirus 1	1
Macacine alphaherpesvirus 1	1
Macacine betaherpesvirus 3	1
Machupo mammarenavirus	1
Macrobrachium rosenbergii nodavirus	1
Macroptilium yellow spot virus	1
Madariaga virus	1
Maize chlorotic mottle virus	1
Maize striate mosaic virus	1
Maize yellow mosaic virus	1
Malvastrum yellow vein Yunnan virus	1
Malvastrum yellow vein Yunnan virus satellite DNA beta	1
Mammalian 1 orthobornavirus	1
Mammalian 2 orthobornavirus	1
Mammalian rubulavirus 5	1
Marburg marburgvirus	1
Mayaro virus	1
Measles morbillivirus	1
Melon chlorotic mosaic alphasatellite	1
Melon chlorotic mosaic virus	1
Mesta yellow vein mosaic virus	1
Mexican papita viroid	1
Middle East respiratory syndrome-related coronavirus	1
Molluscum contagiosum virus	1
Monkeypox virus	1
Mopeia Lassa virus reassortant 29	1
Mulberry vein banding virus	1
Mumps rubulavirus	1
Mungbean yellow mosaic India virus	1
Mungbean yellow mosaic virus	1
Murid betaherpesvirus 1	1
Murine coronavirus	1
Murine leukemia-related retroviruses	1
Murine respirovirus	1
Mycobacterium virus Peaches	1
Mycobacterium virus Pg1	1
Mycobacterium virus Soto	1
Myxoma virus	1
Nairobi sheep disease orthonairovirus	1
Nipah henipavirus	1
Nora virus	1
Nudaurelia capensis omega virus	1
Odontoglossum ringspot virus	1
Okra leaf curl alphasatellite	1
Okra leaf curl betasatellite	1
Okra leaf curl Mali virus satellite DNA beta	1
Okra yellow crinkle virus	1
Orf virus	1
Oropouche orthobunyavirus	1
Orthopteran ambidensovirus 1	1
Ovine enzootic nasal tumor virus	1
Panicum streak virus	1
Papaya leaf crumple virus	1
Papaya leaf curl betasatellite	1
Papaya leaf curl China virus	1
Papaya leaf curl Guandong virus	1
Papaya ringspot virus	1
Parrot hepatitis B virus	1
Paspalum striate mosaic virus	1
Pea necrotic yellow dwarf virus	1
Pedilanthus leaf curl virus	1
Pegivirus H	1
Pennisetum mosaic virus	1
Pepino mosaic virus	1
Pepper chat fruit viroid	1
