year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	182	96	.5274
2009	214	158	.7383
2010	285	211	.7403
2011	231	130	.5627
2012	84	48	.5714
2013	212	171	.8066
2014	230	214	.9304
2015	185	160	.8648
2016	85	70	.8235
2017	11	10	.9090
2018	0	0	0
