year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	44	21	.4772
2009	32	21	.6562
2010	29	26	.8965
2011	33	26	.7878
2012	13	11	.8461
2013	40	33	.8250
2014	4	3	.7500
2015	15	13	.8666
2016	141	139	.9858
2017	0	0	0
2018	0	0	0
