name	N1	N2	N3	N4	N5	N6	N7	N8	N9
N1-u1-g1	0.045629989953999896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u1-g2	0.7055464495320679	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u1-g3	0.10268069581769154	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u2-g1	0.045629989953999896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u2-g2	0.7098292179982023	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u2-g3	0.10268069581769154	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u3-g1	0.0486966636704912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u3-g2	0.10506001163221065	4.780571756382063e-05	0.0	0.0	0.002849002849002849	0.0	0.0	0.0	0.0
N1-u3-g3	0.7042774810976576	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N5-u1-g1	5.287368476709142e-05	0.0	0.0	0.0	0.7236467236467237	0.0	0.0	0.0	0.0
N5-u1-g2	0.0	0.0	0.0	0.0	0.03418803418803419	0.0	0.0	0.0	0.0
N5-u1-g3	0.0	0.0	0.0	0.0	0.1282051282051282	0.0	0.0	0.0	0.0
N5-u2-g1	0.0	0.0	0.0	0.0	0.045584045584045586	0.0	0.0	0.0	0.0
N5-u2-g2	0.0	0.0	0.0	0.0	0.1282051282051282	0.0	0.0	0.0	0.0
N5-u2-g3	5.287368476709142e-05	0.0	0.0	0.0	0.6495726495726496	0.0	0.0	0.0	0.0
N5-u3-g1	5.287368476709142e-05	0.0	0.0	0.0	0.6837606837606838	0.0	0.0	0.0	0.0
N5-u3-g2	0.0	0.0	0.0	0.0	0.05128205128205128	0.0	0.0	0.005235602094240838	0.0
N5-u3-g3	0.0	0.0	0.0	0.0	0.13105413105413105	0.0	0.0	0.0	0.0
N8-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6631762652705061	0.0
N8-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11634671320535195	0.0
N8-u2-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6625945317044794	0.0
N8-u2-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11634671320535195	0.0
N8-u3-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6311809191390343	0.0
N8-u3-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32344386271087844	0.0
N8-u3-g3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15125072716695753	0.0
