year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	862	464	.5382
2009	6455	6061	.9389
2010	1890	1598	.8455
2011	1604	1306	.8142
2012	1153	804	.6973
2013	1446	1173	.8112
2014	1089	870	.7988
2015	1219	953	.7817
2016	2216	2106	.9503
2017	970	948	.9773
2018	9	9	1.0000
