year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	860	0	0
2009	6456	0	0
2010	1891	0	0
2011	1608	0	0
2012	1153	0	0
2013	1453	0	0
2014	1097	0	0
2015	1220	0	0
2016	2231	0	0
2017	1080	0	0
2018	280	0	0
