year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	860	464	.5395
2009	6456	6063	.9391
2010	1891	1599	.8455
2011	1608	1310	.8146
2012	1153	804	.6973
2013	1453	1180	.8121
2014	1097	877	.7994
2015	1220	954	.7819
2016	2231	2117	.9489
2017	1080	1038	.9611
2018	280	279	.9964
