family	genus	species	taxid	segment	refseqs
Adenoviridae	Atadenovirus	Bovine adenovirus E	130500	None	NC_020074
Adenoviridae	Atadenovirus	Bovine atadenovirus D	130499	None	NC_002685
Adenoviridae	Atadenovirus	Deer atadenovirus A	2169706	None	NC_035619
Adenoviridae	Atadenovirus	Duck atadenovirus A	130328	None	NC_001813
Adenoviridae	Atadenovirus	Lizard atadenovirus A	2003672	None	NC_024684
Adenoviridae	Atadenovirus	Ovine atadenovirus D	130327	None	NC_004037
Adenoviridae	Atadenovirus	Psittacine atadenovirus A	2003673	None	NC_025962
Adenoviridae	Atadenovirus	Snake atadenovirus A	1146872	None	NC_009989
Adenoviridae	Aviadenovirus	Duck aviadenovirus B	1534553	None	NC_024486
Adenoviridae	Aviadenovirus	Falcon aviadenovirus A	692069	None	NC_043092
Adenoviridae	Aviadenovirus	Fowl aviadenovirus A	190061	None	NC_001720
Adenoviridae	Aviadenovirus	Fowl aviadenovirus B	190062	None	NC_021221
Adenoviridae	Aviadenovirus	Fowl aviadenovirus C	190063	None	NC_015323
Adenoviridae	Aviadenovirus	Fowl aviadenovirus D	190064	None	NC_000899
Adenoviridae	Aviadenovirus	Fowl aviadenovirus E	190065	None	NC_038332,NC_014969,NC_014969,NC_038332
Adenoviridae	Aviadenovirus	Goose aviadenovirus A	1193420	None	NC_017979
Adenoviridae	Aviadenovirus	Pigeon aviadenovirus A	1548417	None	NC_024474
Adenoviridae	Aviadenovirus	Pigeon aviadenovirus B	2169708	None	NC_031503
Adenoviridae	Aviadenovirus	Psittacine aviadenovirus B	2169709	None	NC_039032
Adenoviridae	Aviadenovirus	Turkey aviadenovirus B	1146875	None	NC_014564
Adenoviridae	Aviadenovirus	Turkey aviadenovirus C	1962301	None	NC_022612
Adenoviridae	Aviadenovirus	Turkey aviadenovirus D	1962302	None	NC_022613
Adenoviridae	Mastadenovirus	Bat mastadenovirus	740971	None	NC_031948
Adenoviridae	Mastadenovirus	Bat mastadenovirus A	1146877	None	NC_016895
Adenoviridae	Mastadenovirus	Bat mastadenovirus B	1146874	None	NC_015932
Adenoviridae	Mastadenovirus	Bat mastadenovirus C	2015370	None	NC_029902,NC_029898,NC_029899,NC_029899,NC_029902,NC_029898
Adenoviridae	Mastadenovirus	Bat mastadenovirus D	2015372	None	NC_030860
Adenoviridae	Mastadenovirus	Bat mastadenovirus E	2015374	None	NC_030874
Adenoviridae	Mastadenovirus	Bat mastadenovirus F	2015375	None	NC_034626
Adenoviridae	Mastadenovirus	Bat mastadenovirus G	2015376	None	NC_035072
Adenoviridae	Mastadenovirus	Bovine mastadenovirus A	129953	None	NC_044934
Adenoviridae	Mastadenovirus	Bovine mastadenovirus B	129950	None	NC_001876
Adenoviridae	Mastadenovirus	Bovine mastadenovirus C	129952	None	NC_043093
Adenoviridae	Mastadenovirus	Canine mastadenovirus A	10537	None	NC_001734
Adenoviridae	Mastadenovirus	Cervid adenovirus 1	2003578	None	NC_034834
Adenoviridae	Mastadenovirus	Dolphin mastadenovirus B	2170001	None	NC_038333,NC_044960
Adenoviridae	Mastadenovirus	Equine mastadenovirus A	129954	None	NC_030792
