name	N1	N2	N3	N4	N5	N6	N7	N8	N9
N1-u1-g1	0.04568286363876699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u1-g2	0.715433828583514	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u1-g3	0.10278644318722571	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u2-g1	0.04568286363876699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u2-g2	0.716015439115952	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u2-g3	0.10278644318722571	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u3-g1	0.04874953735525829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u3-g2	0.10511288531697774	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u3-g3	0.7051234600539311	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N5-u1-g1	5.287368476709142e-05	0.0	0.0	0.0	0.7264957264957265	0.0	0.0	0.0005817335660267597	0.0
N5-u1-g2	0.0	0.0	0.0	0.0	0.03418803418803419	0.0	0.0	0.0	0.0
N5-u1-g3	0.0	0.0	0.0	0.0	0.1282051282051282	0.0	0.0	0.0	0.0
N5-u2-g1	5.287368476709142e-05	0.0	0.0	0.0	0.045584045584045586	0.0	0.0	0.0	0.0
N5-u2-g2	0.0	0.0	0.0	0.0	0.1282051282051282	0.0	0.0	0.0	0.0
N5-u2-g3	5.287368476709142e-05	0.0	0.0	0.0	0.6495726495726496	0.0	0.0	0.0005817335660267597	0.0
N5-u3-g1	5.287368476709142e-05	0.0	0.0	0.0	0.6837606837606838	0.0	0.0	0.0	0.0
N5-u3-g2	5.287368476709142e-05	0.0	0.0	0.0	0.1623931623931624	0.0	0.0	0.0005817335660267597	0.0
N5-u3-g3	0.0	0.0	0.0	0.0	0.18803418803418803	0.0	0.0	0.0	0.0
N8-u1-g1	0.0	0.0	0.0	0.0	0.002849002849002849	0.0	0.0	0.6678301337987201	0.0
N8-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11751018033740547	0.0
N8-u2-g1	0.0	0.0	0.0	0.0	0.002849002849002849	0.0	0.0	0.6660849331006399	0.0
N8-u2-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11634671320535195	0.0
N8-u3-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6340895869691682	0.0
N8-u3-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32577079697498545	0.0
N8-u3-g3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15939499709133217	0.0
