coverage.against.year	num.seqs.against.year	design.up.to.year	num.seqs.up.to.year	coverage
upto2007	5	2005	5	0.4
upto2007	5	2005	5	0.39
upto2007	5	2005	5	0.39
upto2007	5	2005	5	0.2
upto2007	5	2005	5	0.4
upto2007	5	2005	5	0.2
upto2007	5	2005	5	0.4
upto2007	5	2005	5	0.39
upto2007	5	2005	5	0.4
upto2007	5	2005	5	0.2
upto2007	5	2006	5	0.2
upto2007	5	2006	5	0.2
upto2007	5	2006	5	0.2
upto2007	5	2006	5	0.2
upto2007	5	2006	5	0.2
upto2007	5	2006	5	0.4
upto2007	5	2006	5	0.2
upto2007	5	2006	5	0.2
upto2007	5	2006	5	0.4
upto2007	5	2007	5	0.2
upto2007	5	2007	5	0.39
upto2007	5	2007	5	0.2
upto2007	5	2007	5	0.4
upto2007	5	2007	5	0.4
upto2007	5	2007	5	0.2
upto2007	5	2007	5	0.2
upto2007	5	2007	5	0.2
upto2007	5	2007	5	0.4
upto2007	5	2008	16	0.37
upto2007	5	2008	16	0.4
upto2007	5	2008	16	0.4
upto2007	5	2008	16	0.39
upto2007	5	2008	16	0.2
upto2007	5	2008	16	0.39
upto2007	5	2008	16	0.4
upto2007	5	2008	16	0.21
upto2007	5	2008	16	0.2
upto2007	5	2008	16	0.39
upto2007	5	2009	60	0.34
upto2007	5	2009	60	0.2
upto2007	5	2009	60	0.4
upto2007	5	2009	60	0.07
upto2007	5	2009	60	0.4
upto2007	5	2009	60	0.39
upto2007	5	2009	60	0.2
upto2007	5	2009	60	0.23
upto2007	5	2009	60	0.2
upto2007	5	2009	60	0.01
upto2007	5	2010	82	0.4
upto2007	5	2010	82	0.39
upto2007	5	2010	82	0.4
upto2007	5	2010	82	0.2
upto2007	5	2010	82	0.2
upto2007	5	2010	82	0.01
upto2007	5	2010	82	0.4
upto2007	5	2010	82	0.4
upto2007	5	2010	82	0.07
upto2007	5	2010	82	0.4
upto2007	5	2011	126	0.14
upto2007	5	2011	126	0.11
upto2007	5	2011	126	0.4
upto2007	5	2011	126	0.22
upto2007	5	2011	126	0.1
upto2007	5	2011	126	0.29
upto2007	5	2011	126	0.13
upto2007	5	2011	126	0.23
upto2007	5	2011	126	0.19
upto2007	5	2011	126	0.34
upto2007	5	2012	193	0.17
upto2007	5	2012	193	0.26
upto2007	5	2012	193	0.23
upto2007	5	2012	193	0.22
upto2007	5	2012	193	0.22
upto2007	5	2012	193	0.1
upto2007	5	2012	193	0.22
upto2007	5	2012	193	0.25
upto2007	5	2012	193	0.22
upto2007	5	2012	193	0.2
upto2007	5	2013	212	0.16
upto2007	5	2013	212	0.09
upto2007	5	2013	212	0.15
upto2007	5	2013	212	0.21
upto2007	5	2013	212	0.15
upto2007	5	2013	212	0.18
upto2007	5	2013	212	0.23
upto2007	5	2013	212	0.1
upto2007	5	2013	212	0.1
upto2007	5	2013	212	0.06
upto2007	5	2014	218	0.18
upto2007	5	2014	218	0.2
upto2007	5	2014	218	0.18
upto2007	5	2014	218	0.27
upto2007	5	2014	218	0.21
upto2007	5	2014	218	0.1
upto2007	5	2014	218	0.2
upto2007	5	2014	218	0.07
upto2007	5	2014	218	0.22
upto2007	5	2014	218	0.13
upto2007	5	2015	228	0.26
upto2007	5	2015	228	0.19
upto2007	5	2015	228	0.17
upto2007	5	2015	228	0.36
upto2007	5	2015	228	0.34
upto2007	5	2015	228	0.21
upto2007	5	2015	228	0.16
upto2007	5	2015	228	0.24
upto2007	5	2015	228	0.19
upto2007	5	2015	228	0.11
upto2007	5	2016	280	0.28
upto2007	5	2016	280	0.15
upto2007	5	2016	280	0.15
upto2007	5	2016	280	0.12
upto2007	5	2016	280	0.2
upto2007	5	2016	280	0.24
upto2007	5	2016	280	0.16
upto2007	5	2016	280	0.15
upto2007	5	2016	280	0.16
upto2007	5	2016	280	0.24
upto2007	5	2017	280	0.33
upto2007	5	2017	280	0.3
upto2007	5	2017	280	0.19
upto2007	5	2017	280	0.24
upto2007	5	2017	280	0.1
upto2007	5	2017	280	0.16
upto2007	5	2017	280	0.13
upto2007	5	2017	280	0.2
upto2007	5	2017	280	0.23
upto2007	5	2017	280	0.09
upto2007	5	2018	290	0.28
upto2007	5	2018	290	0.36
upto2007	5	2018	290	0.18
upto2007	5	2018	290	0.16
upto2007	5	2018	290	0.16
upto2007	5	2018	290	0.19
upto2007	5	2018	290	0.13
upto2007	5	2018	290	0.39
upto2007	5	2018	290	0.23
upto2007	5	2018	290	0.29
upto2007	5	2019	290	0.26
upto2007	5	2019	290	0.2
upto2007	5	2019	290	0.31
upto2007	5	2019	290	0.21
upto2007	5	2019	290	0.33
upto2007	5	2019	290	0.25
upto2007	5	2019	290	0.19
upto2007	5	2019	290	0.18
upto2007	5	2019	290	0.16
upto2007	5	2019	290	0.25
2008	11	2005	5	0.00454545
2008	11	2005	5	0
2008	11	2005	5	0
2008	11	2005	5	0
2008	11	2005	5	0
2008	11	2005	5	0
2008	11	2005	5	0.00909091
2008	11	2005	5	0
2008	11	2005	5	0
2008	11	2005	5	0
2008	11	2006	5	0
2008	11	2006	5	0
2008	11	2006	5	0
2008	11	2006	5	0
2008	11	2006	5	0
2008	11	2006	5	0.00454545
2008	11	2006	5	0
2008	11	2006	5	0
2008	11	2006	5	0
2008	11	2007	5	0
2008	11	2007	5	0
2008	11	2007	5	0
2008	11	2007	5	0
2008	11	2007	5	0
2008	11	2007	5	0
2008	11	2007	5	0
2008	11	2007	5	0
2008	11	2007	5	0.00454545
2008	11	2008	16	0.977273
2008	11	2008	16	0.836364
2008	11	2008	16	0.809091
2008	11	2008	16	0.922727
2008	11	2008	16	0.704545
2008	11	2008	16	0.945455
2008	11	2008	16	0.922727
2008	11	2008	16	0.927273
2008	11	2008	16	0.877273
2008	11	2008	16	0.768182
2008	11	2009	60	0.895455
2008	11	2009	60	0.95
