year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	114	80	.7017
2009	113	22	.1946
2010	87	26	.2988
2011	54	29	.5370
2012	31	11	.3548
2013	54	13	.2407
2014	108	7	.0648
2015	39	18	.4615
2016	4	0	0
2017	0	0	0
2018	0	0	0
