year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	30	0	0
2009	22	0	0
2010	24	0	0
2011	14	0	0
2012	3	0	0
2013	3	0	0
2014	0	0	0
2015	2	0	0
2016	1	0	0
2017	0	0	0
2018	0	0	0
