flowcell,run name,sample name,bam name,unambig bases,median coverage,tapestation primer pool 1,tapestation primer pool 2
AKVJY,Amp-Seq Pilot,BocaBio-0076S,76S,8228,9239.0,5.28,2
AKVJY,Amp-Seq Pilot,BocaBio-0115S,115S,10448,11912.0,52.9,52.7
AKVJY,Amp-Seq Pilot,BocaBio-0180S,180S,10597,10614.0,46.8,70.5
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-001S,FGCU-001S_ampseq-1,85,0.0,0,0
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-001U,FGCU-001U_ampseq-1,475,0.0,0,NA
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-003U,FGCU-003U_ampseq-1,1348,48609.0,0.3,0.3
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-004S,FGCU-004S_ampseq-1,0,0.0,0.3,0
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-004U,FGCU-004U_ampseq-1,0,0.0,0,0
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-006U,FGCU-006U_ampseq-1,0,0.0,0,0
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-007U,FGCU-007U_ampseq-1,0,0.0,0,0
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-008U,FGCU-008U_ampseq-1,0,0.0,0,0
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-010S,FGCU-010S_ampseq-1,85,0.0,0,0
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-010U,FGCU-010U_ampseq-1,10375,13994.0,47.2,76.4
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-011U,FGCU-011U_ampseq-1,0,0.0,0,0
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-012U,FGCU-012U_ampseq-1,2160,42637.0,2.3,0
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-016U,FGCU-016U_ampseq-1,0,0.0,0.3,0.5
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-017U,FGCU-017U_ampseq-1,0,0.0,0,0
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-027U,FGCU-027U_ampseq-1,1118,63966.0,0.6,0
ATFMU,Make Sequencing Great Again Part I (MSGA),FGCU-MP-16-1046,FGCU-MP-16-20416_ampseq-1,10433,11639.0,21.5,41.5
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-5790-SR,Fiocruz-5790-SR_ampseq-1,6996,12484.0,5.8,1.2
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-5905-SR,Fiocruz-5905-SR_ampseq-1,7467,27718.0,4.3,1.4
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-6696,Fiocruz-6696_ampseq-1,7479,5853.0,0.5,2.3
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-6703,Fiocruz-6703_ampseq-1,3424,10406.0,1.7,0.3
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-6706,Fiocruz-6706_ampseq-1,0,0.0,0,9
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-6864-U,Fiocruz-6864-U_ampseq-1,10592,22971.0,29.8,20.5
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ62D2PE,Fiocruz-B14_ampseq-1,830,638.0,0.6,0
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ219D1URI,Fiocruz-B16_ampseq-1,1724,1876.0,0.3,0.1
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ192D1URI,Fiocruz-B30_ampseq-1,868,35775.0,0.1,0.7
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ42D1URI,Fiocruz-B34_ampseq-1,10594,16658.0,12.8,59.7
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ121D1PE,Fiocruz-B39_ampseq-1,0,0.0,0,0
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ62D1URI,Fiocruz-B41_ampseq-1,0,0.0,3.5,5.1
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ105D1PE,Fiocruz-B42_ampseq-1,0,0.0,0,0
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ119D1URI,Fiocruz-B44_ampseq-1,920,64726.0,0.4,0.7
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ131D1URI,Fiocruz-B4_ampseq-1,10601,10994.0,NA,159
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ28D1URI,Fiocruz-B7_ampseq-1,10596,20511.0,37.6,33.5
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ116D1PE,Fiocruz-B8_ampseq-1,451,181203.0,0,0.3
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ107D1URI,Fiocruz-DQ107D1URI_ampseq-1,10018,6718.0,27.5,20.6
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ125D1PE,Fiocruz-DQ125D1PE_ampseq-1,883,40.0,0,0
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ197D1URI,Fiocruz-DQ197D1URI_ampseq-1,411,14.0,2.9,0.2
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ47D1PE,Fiocruz-DQ47D1PE_ampseq-1,9937,4875.0,13.3,35.8
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ49D1PE,Fiocruz-DQ49D1PE_ampseq-1,10162,7404.0,10.9,13.3
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ52D1PE,Fiocruz-DQ52D1PE_ampseq-1,0,0.0,0,0
ATFMU,Make Sequencing Great Again Part I (MSGA),Fiocruz-DQ68D1URI,Fiocruz-DQ68D1URI_ampseq-1,98,0.0,0,0
