name	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16
H15-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
H15-u2-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
H15-u3-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
H15-u4-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
H16-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8059701492537313
H16-u2-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8059701492537313
H1-u1-g1	0.12458753653247855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H1-u1-g2	0.8460922032619967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H1-u2-g1	0.07132082586970868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H1-u2-g2	0.7229659658715942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H1-u2-g3	0.1012538889412652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2-u1-g1	0.0	0.751219512195122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2-u1-g2	0.0	0.7560975609756098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2-u2-g1	0.0	0.2048780487804878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2-u2-g2	0.0	0.751219512195122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H3-u1-g1	0.0	0.0	0.8945476038023937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H3-u2-g1	0.0	0.0	0.8952864108752401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H3-u3-g1	0.0	0.0	0.8950893956558144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H3-u4-g1	0.0	0.0	0.8674087573265035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H5-u1-g1	0.0	0.0	0.0	0.0	0.27391920623671157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H5-u1-g2	0.0	0.0	0.0	0.0	0.03827072997873848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H5-u1-g3	0.0	0.0	0.0	0.0	0.6796598157335223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H5-u2-g1	0.0	0.0	0.0	0.0	0.5882352941176471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H5-u2-g2	0.0	0.0	0.0	0.0	0.6796598157335223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u1-g1	0.0	0.0	0.0	0.0	0.0	0.6125827814569537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u1-g2	0.0	0.0	0.0	0.0	0.0	0.7913907284768212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u2-g1	0.0	0.0	0.0	0.0	0.0	0.2996688741721854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u2-g2	0.0	0.0	0.0	0.0	0.0	0.7947019867549668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
