year	num.seqs	num.covered	frac.covered
2007	1	1	1.0000
2008	565	438	.7752
2009	7656	7499	.9794
2010	2097	1929	.9198
2011	1874	1666	.8890
2012	1280	1009	.7882
2013	1871	1674	.8947
2014	1371	1193	.8701
2015	1286	1146	.8911
2016	2782	2699	.9701
2017	431	416	.9651
2018	0	0	0
