year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	287	268	.9337
2009	281	246	.8754
2010	276	237	.8586
2011	405	315	.7777
2012	272	240	.8823
2013	362	282	.7790
2014	458	382	.8340
2015	415	366	.8819
2016	65	53	.8153
2017	1	1	1.0000
2018	0	0	0
