name	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16
H15-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0013271400132714001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
H15-u2-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.017916390179163903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
H15-u3-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0225613802256138	0.0	0.0	0.0014684287812041115	0.0	0.0	0.0	0.0	1.0	0.0
H15-u4-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0225613802256138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
H16-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0016556291390728477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8059701492537313
H16-u2-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8059701492537313
H1-u1-g1	0.8703686244932591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H1-u1-g2	0.8996417460167814	0.0	0.0	0.0	0.00035435861091424523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H1-u2-g1	0.1998208730083907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H1-u2-g2	0.7998491562175921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H1-u2-g3	0.10837182992363534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2-u1-g1	0.0003771094560196097	0.751219512195122	0.0	0.0	0.009922041105598866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2-u1-g2	4.713868200245121e-05	0.7609756097560976	0.0	0.0	0.001417434443656981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2-u2-g1	0.0004713868200245121	0.9609756097560975	0.0	0.0	0.0010630758327427356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2-u2-g2	0.0003771094560196097	0.751219512195122	0.0	0.0	0.009922041105598866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H3-u1-g1	0.0	0.0	0.9192730138403191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H3-u2-g1	0.0	0.0	0.9175491306703443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H3-u3-g1	0.0	0.0	0.9006550756045905	0.0	0.0	0.0	0.0053085600530856005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H3-u4-g1	0.0	0.0	0.9204058513520169	0.0	0.0	0.0	0.005972130059721301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H5-u1-g1	0.0	0.0	0.0	0.0	0.31218993621545005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H5-u1-g2	0.005279532384274536	0.0	0.0	0.0	0.7303330970942594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H5-u1-g3	0.0	0.0	0.0	0.0	0.8635719347980156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H5-u2-g1	0.0	0.0	0.0	0.0	0.6353649893692417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H5-u2-g2	0.0	0.0	0.0	0.0	0.8635719347980156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u1-g1	0.0	0.0	0.0	0.0	0.0	0.8940397350993378	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u1-g2	0.0	0.0	0.0	0.0	0.0	0.8940397350993378	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u2-g1	0.0	0.0	0.0	0.0	0.004252303330970942	0.6357615894039735	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H6-u2-g2	0.0	0.0	0.0	0.0	0.0	0.9172185430463576	0.0	0.0	0.00033647375504710633	0.0	0.0	0.0	0.0	0.0	0.0	0.13432835820895522
