year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	860	458	.5325
2009	6456	6047	.9366
2010	1891	1578	.8344
2011	1608	1288	.8009
2012	1153	750	.6504
2013	1453	1160	.7983
2014	1097	864	.7876
2015	1220	942	.7721
2016	2231	2105	.9435
2017	1080	1018	.9425
2018	280	274	.9785
