name	N1	N2	N3	N4	N5	N6	N7	N8	N9
N1-u1-g1	0.10030138000317242	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u1-g2	0.05408977951673452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u1-g3	0.703272881087083	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N1-u1-g4	0.0486966636704912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N2-u1-g1	0.0	0.026914618988431015	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N2-u1-g2	0.0	0.7818625107562864	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N2-u1-g3	0.0	0.03934410555502438	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N2-u1-g4	0.0	0.7883162826274023	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N2-u1-g5	0.0	0.6742518405201262	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N2-u1-g6	0.0	0.012572903719284826	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N3-u1-g1	0.0	0.0	0.10526315789473684	0.0	0.0	0.0	0.0	0.0	0.0
N3-u1-g2	0.0	0.0	0.09161793372319688	0.0	0.0	0.0	0.0	0.0	0.0
N3-u1-g3	0.0	0.0	0.195906432748538	0.0	0.0	0.0	0.0	0.0	0.0
N3-u1-g4	0.0	0.0	0.51364522417154	0.0	0.0	0.0	0.0	0.0	0.0
N4-u1-g1	0.0	0.0	0.0	0.5670103092783505	0.0	0.0	0.0	0.0	0.0
N4-u1-g2	0.0	0.0	0.0	0.28350515463917525	0.0	0.0	0.0	0.0	0.0
N4-u1-g3	0.0	0.0	0.0	0.10824742268041238	0.0	0.0	0.0	0.0	0.0
N4-u1-g4	0.0	0.0	0.0	0.07216494845360824	0.0	0.0	0.0	0.0	0.0
N5-u1-g1	0.0	0.0	0.0	0.0	0.18803418803418803	0.0	0.0	0.0	0.0
N5-u1-g2	0.0	0.0	0.0	0.0	0.21367521367521367	0.0	0.0	0.0	0.0
N5-u1-g3	5.287368476709142e-05	0.0	0.0	0.0	0.6296296296296297	0.0	0.0	0.0	0.0
N6-u1-g1	0.0	0.0	0.0	0.0	0.0	0.05203862660944206	0.0	0.0	0.0
N6-u1-g2	0.0	0.0	0.0	0.0	0.0	0.10139484978540772	0.0	0.0	0.0
N6-u1-g3	0.0	0.0	0.0	0.0	0.0	0.20439914163090128	0.0	0.0	0.0
N6-u1-g4	0.0	0.0	0.0	0.0	0.0	0.05686695278969957	0.0	0.0	0.0
N6-u1-g5	0.0	0.0	0.0	0.0	0.0	0.15879828326180256	0.0	0.0	0.0
N6-u1-g6	0.0	0.0	0.0	0.0	0.0	0.33798283261802575	0.0	0.0	0.0
N6-u1-g7	0.0	0.0	0.0	0.0	0.0	0.05042918454935622	0.0	0.0	0.0
N7-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.21612349914236706	0.0	0.0
N7-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.49914236706689535	0.0	0.0
N7-u1-g3	0.0	0.0	0.0	0.0	0.0	0.0	0.15437392795883362	0.0	0.0
N7-u1-g4	0.0	0.0	0.0	0.0	0.0	0.0	0.6020583190394511	0.0	0.0
N8-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6625945317044794	0.0
N8-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15008726003490402	0.0
N8-u1-g3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09482257126236183	0.0
N8-u1-g4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0564281559045957	0.0
N9-u1-g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7461406518010292
N9-u1-g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.060891938250428816
N9-u1-g3	0.0	0.0	0.0	0.0	0.0	0.000536480686695279	0.0	0.0	0.10463121783876501
