coverage.against.year	num.seqs.against.year	design.up.to.year	num.seqs.up.to.year	coverage
upto2004	346	2005	416	0.968353
upto2004	346	2005	416	0.96922
upto2004	346	2005	416	0.974133
upto2004	346	2005	416	0.968208
upto2004	346	2005	416	0.975
upto2004	346	2005	416	0.969075
upto2004	346	2005	416	0.962139
upto2004	346	2005	416	0.978468
upto2004	346	2005	416	0.979335
upto2004	346	2005	416	0.974855
upto2004	346	2006	519	0.970087
upto2004	346	2006	519	0.972977
upto2004	346	2006	519	0.974422
upto2004	346	2006	519	0.967197
upto2004	346	2006	519	0.978757
upto2004	346	2006	519	0.967919
upto2004	346	2006	519	0.973699
upto2004	346	2006	519	0.971098
upto2004	346	2006	519	0.978324
upto2004	346	2006	519	0.969075
upto2004	346	2007	550	0.975145
upto2004	346	2007	550	0.966474
upto2004	346	2007	550	0.96315
upto2004	346	2007	550	0.966908
upto2004	346	2007	550	0.971965
upto2004	346	2007	550	0.974711
upto2004	346	2007	550	0.972254
upto2004	346	2007	550	0.972832
upto2004	346	2007	550	0.980058
upto2004	346	2007	550	0.978468
upto2004	346	2008	569	0.970954
upto2004	346	2008	569	0.97789
upto2004	346	2008	569	0.979769
upto2004	346	2008	569	0.979335
upto2004	346	2008	569	0.97948
upto2004	346	2008	569	0.973699
upto2004	346	2008	569	0.980491
upto2004	346	2008	569	0.978757
upto2004	346	2008	569	0.978757
upto2004	346	2008	569	0.981792
upto2004	346	2009	580	0.984104
upto2004	346	2009	580	0.982803
upto2004	346	2009	580	0.983092
upto2004	346	2009	580	0.984538
upto2004	346	2009	580	0.982225
upto2004	346	2009	580	0.983671
upto2004	346	2009	580	0.979624
upto2004	346	2009	580	0.982514
upto2004	346	2009	580	0.977312
upto2004	346	2009	580	0.976156
upto2004	346	2010	609	0.97948
upto2004	346	2010	609	0.980202
upto2004	346	2010	609	0.982514
upto2004	346	2010	609	0.984827
upto2004	346	2010	609	0.98396
upto2004	346	2010	609	0.97789
upto2004	346	2010	609	0.980491
upto2004	346	2010	609	0.985694
upto2004	346	2010	609	0.979191
upto2004	346	2010	609	0.982659
upto2004	346	2011	680	0.985116
upto2004	346	2011	680	0.983526
upto2004	346	2011	680	0.98685
upto2004	346	2011	680	0.986561
upto2004	346	2011	680	0.986416
upto2004	346	2011	680	0.984249
upto2004	346	2011	680	0.979335
upto2004	346	2011	680	0.987139
upto2004	346	2011	680	0.987139
upto2004	346	2011	680	0.984393
upto2004	346	2012	715	0.983815
upto2004	346	2012	715	0.986994
upto2004	346	2012	715	0.986272
upto2004	346	2012	715	0.985694
upto2004	346	2012	715	0.983526
upto2004	346	2012	715	0.985838
upto2004	346	2012	715	0.983092
upto2004	346	2012	715	0.981214
upto2004	346	2012	715	0.979624
upto2004	346	2012	715	0.983237
upto2004	346	2013	888	0.989306
upto2004	346	2013	888	0.986272
upto2004	346	2013	888	0.986561
upto2004	346	2013	888	0.986994
upto2004	346	2013	888	0.986416
upto2004	346	2013	888	0.98815
upto2004	346	2013	888	0.986561
upto2004	346	2013	888	0.989162
upto2004	346	2013	888	0.987283
upto2004	346	2013	888	0.986561
upto2004	346	2014	1304	0.983526
upto2004	346	2014	1304	0.989595
upto2004	346	2014	1304	0.984249
upto2004	346	2014	1304	0.976734
upto2004	346	2014	1304	0.987428
upto2004	346	2014	1304	0.985549
upto2004	346	2014	1304	0.980347
upto2004	346	2014	1304	0.975145
upto2004	346	2014	1304	0.986416
upto2004	346	2014	1304	0.977168
upto2004	346	2015	1307	0.984971
upto2004	346	2015	1307	0.979624
upto2004	346	2015	1307	0.985983
upto2004	346	2015	1307	0.982225
upto2004	346	2015	1307	0.98685
upto2004	346	2015	1307	0.985838
upto2004	346	2015	1307	0.988295
upto2004	346	2015	1307	0.977312
upto2004	346	2015	1307	0.971387
upto2004	346	2015	1307	0.980347
upto2004	346	2016	1307	0.97659
upto2004	346	2016	1307	0.97948
upto2004	346	2016	1307	0.981503
upto2004	346	2016	1307	0.984104
upto2004	346	2016	1307	0.978179
upto2004	346	2016	1307	0.989884
upto2004	346	2016	1307	0.971532
upto2004	346	2016	1307	0.982659
upto2004	346	2016	1307	0.98396
upto2004	346	2016	1307	0.982514
upto2004	346	2017	1309	0.980202
upto2004	346	2017	1309	0.990462
upto2004	346	2017	1309	0.981647
upto2004	346	2017	1309	0.988873
upto2004	346	2017	1309	0.978902
upto2004	346	2017	1309	0.987139
upto2004	346	2017	1309	0.980925
upto2004	346	2017	1309	0.982225
upto2004	346	2017	1309	0.974422
upto2004	346	2017	1309	0.990318
upto2004	346	2018	1310	0.985549
upto2004	346	2018	1310	0.977457
upto2004	346	2018	1310	0.981503
upto2004	346	2018	1310	0.991185
upto2004	346	2018	1310	0.983382
upto2004	346	2018	1310	0.986272
upto2004	346	2018	1310	0.979769
upto2004	346	2018	1310	0.98974
upto2004	346	2018	1310	0.977312
upto2004	346	2018	1310	0.983671
upto2004	346	2019	1310	0.984971
upto2004	346	2019	1310	0.985694
upto2004	346	2019	1310	0.981503
upto2004	346	2019	1310	0.981358
upto2004	346	2019	1310	0.979913
upto2004	346	2019	1310	0.980925
upto2004	346	2019	1310	0.986272
upto2004	346	2019	1310	0.98078
upto2004	346	2019	1310	0.982659
upto2004	346	2019	1310	0.985694
2005	70	2005	416	0.978571
2005	70	2005	416	0.977143
2005	70	2005	416	0.980714
2005	70	2005	416	0.960714
2005	70	2005	416	0.985
2005	70	2005	416	0.985
