year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	100	19	.1900
2009	139	16	.1151
2010	203	6	.0295
2011	266	21	.0789
2012	343	19	.0553
2013	565	35	.0619
2014	1208	144	.1192
2015	117	3	.0256
2016	31	1	.0322
2017	0	0	0
2018	0	0	0
