573900	S
573900	L
2116466	M
2116466	S
2116466	L
2116467	S
2116467	L
2116467	M
300180	L
300180	S
2169909	L
2169909	S
144752	L
144752	S
2059312	S
2059312	L
2169991	L
2169991	S
192848	L
192848	S
2169992	L
2169992	S
2169993	L
2169993	S
499556	S
499556	L
208899	L
208899	S
45220	S
45220	L
1535802	S
1535802	L
45219	S
45219	L
55096	S
55096	L
45221	S
45221	L
1437126	S
1437126	L
649188	S
649188	L
883876	S
883876	L
1912901	S
1912901	L
11623	L
11623	S
11628	S
11628	L
1642436	S
1642436	L
743685	L
743685	S
55097	S
55097	L
11629	L
11629	S
1642458	S
1642458	L
42764	S
42764	L
2169994	S
2169994	L
49891	S
49891	L
2169995	S
2169995	L
2169996	S
2169996	L
2030986	L
2030986	S
2169997	L
2169997	S
11631	L
11631	S
45223	S
45223	L
1588685	S
1588685	L
46919	S
46919	L
1653398	L
1653398	S
2170175	S
2170175	L
2170176	S
2170176	L
2170177	L
2170177	S
2170178	S
2170178	L
2170179	S
2170179	L
