year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	65	48	.7384
2009	128	116	.9062
2010	169	161	.9526
2011	66	57	.8636
2012	37	34	.9189
2013	424	77	.1816
2014	444	46	.1036
2015	89	56	.6292
2016	77	70	.9090
2017	8	4	.5000
2018	0	0	0
