name	N1	N2	N3	N4	N5	N6	N7	N8	N9
N1-u1	0.8563950721725797	0.0001434171526914619	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N2-u1	0.0	0.8493641839564012	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N3-u1	0.0	0.0	0.8323586744639376	0.0	0.0	0.0	0.0	0.0	0.0
N4-u1	0.0	0.0	0.0	0.9278350515463918	0.0	0.0	0.0	0.0	0.0
N5-u1	5.287368476709142e-05	0.0	0.0	0.0	0.9458689458689459	0.0	0.0	0.5468295520651542	0.0
N6-u1	0.0	0.0	0.0	0.0	0.0	0.8358369098712446	0.0	0.0005817335660267597	0.0
N7-u1	0.0	0.0	0.0	0.0	0.0	0.0	0.9193825042881647	0.0	0.0
N8-u1	5.287368476709142e-05	0.0	0.0	0.0	0.45014245014245013	0.0	0.0	0.8278068644560791	0.0
N9-u1	0.0	0.0	0.0	0.0	0.0	0.000536480686695279	0.0	0.0	0.9785591766723842
