accession	country	year	entry_create_year	taxid	species
FJ898446	Brazil	2001	2009	11069	Dengue virus
AB189124	Indonesia: Sumatra	None	2004	11060	Dengue virus
MN448627	Thailand	2012	2020	11053	Dengue virus
KY586470	Thailand	2006	2017	12637	Dengue virus
MT832052	Philippines	2012	2021	11053	Dengue virus
GQ199874	Nicaragua: Managua	2004	2009	11060	Dengue virus
HQ541789	Nicaragua: Managua	2008	2011	11069	Dengue virus
MN018387	China: Guangdong Province	2017	2020	11069	Dengue virus
FJ850086	Brazil: Northern	2005	2009	11069	Dengue virus
GU131856	Brazil: Sao Paulo	2006	2009	11069	Dengue virus
MW945993	Thailand	1994	2021	11053	Dengue virus
MW946027	Thailand	1994	2021	11053	Dengue virus
KP188541	Brazil	2011	2016	11053	Dengue virus
KY849711	Laos: Salavan	2009	2018	11053	Dengue virus
EU482638	Nicaragua: Managua	2007	2008	11060	Dengue virus
KJ189285	Peru	2008	2014	11069	Dengue virus
EU482813	Viet Nam: south	2006	2008	11053	Dengue virus
HQ235027	Paraguay	2007	2011	11069	Dengue virus
JX669479	Brazil: Pernambuco	2010	2013	11060	Dengue virus
EU081194	Singapore	2005	2007	11069	Dengue virus
MG840541	China	2014	2019	11053	Dengue virus
FJ898430	Viet Nam: South	2006	2009	11053	Dengue virus
HQ166032	Nicaragua: Managua	2009	2010	11069	Dengue virus
MT921571	Australia: Queensland	2015	2020	11060	Dengue virus
KY586365	Thailand	2001	2017	12637	Dengue virus
EU677153	Viet Nam: South	2007	2008	11053	Dengue virus
HQ332174	Venezuela	2007	2012	11070	Dengue virus
EU482702	Viet Nam: south	2007	2008	11060	Dengue virus
MG840547	China	2015	2019	11053	Dengue virus
KX059031	Sri Lanka	2012	2017	12637	Dengue virus
KY586324	Thailand	2006	2017	12637	Dengue virus
EU482642	Viet Nam: south	2006	2008	11060	Dengue virus
AY858046	Indonesia: Jakarta	None	2005	11069	Dengue virus
MW512368	Singapore	2011	2021	11060	Dengue virus
MW945840	Thailand	1994	2021	11053	Dengue virus
KP188559	Brazil	2012	2016	11070	Dengue virus
KX452024	Malaysia: Johor Bahru	2014	2017	11060	Dengue virus
MW396468	Bangladesh	2019	2020	11053	Dengue virus
MW946025	Thailand	2004	2021	11053	Dengue virus
GQ199786	Viet Nam: South	2007	2009	11053	Dengue virus
MW512473	Singapore	2017	2021	11060	Dengue virus
KY586426	Thailand	2006	2017	12637	Dengue virus
GQ868579	Colombia: Santander	2001	2009	11070	Dengue virus
FM210245	Viet Nam:South	2005	2008	11060	Dengue virus
GQ398314	Puerto Rico	1994	2010	11060	Dengue virus
KM403596	Singapore	2013	2016	11053	Dengue virus
FJ461326	Viet Nam: South	2007	2009	11069	Dengue virus
JQ915079	New Caledonia	2009	2013	11053	Dengue virus
EU482603	Nicaragua: Managua	2007	2008	11060	Dengue virus
EU482531	Viet Nam: south	2006	2008	11053	Dengue virus
KF744408	Philippines	2005	2015	11060	Dengue virus
EU482669	Viet Nam: south	2006	2008	11060	Dengue virus
EU529698	USA: Puerto Rico	2006	2008	11069	Dengue virus
MH822946	India	2012	2018	11060	Dengue virus
EU482484	Viet Nam: south	2007	2008	11053	Dengue virus
FJ639750	Venezuela: Aragua	2000	2009	11069	Dengue virus
KY586442	Thailand	2003	2017	12637	Dengue virus
KC762680	Indonesia: Makassar	2010	2015	11060	Dengue virus
JX669503	Brazil: Pernambuco	2005	2013	11069	Dengue virus
