family	genus	species	taxid	segment	num_seqs	result_type	cluster	timestamp	last_changed_timestamp	num_input_seqs	num_curated_seqs	num_clusters	rss	elapsed_time	mean_cluster_cost	mean_cluster_target_len	mean_cluster_num_primers5	mean_cluster_num_primers3	mean_cluster_num_guides
Anelloviridae	Gyrovirus	Avian gyrovirus 2	1002273	None	28	taxon	NA	1573969582	1573969582	28	28	1	500936.0	244.93	2.5126942636811997	88	1	1	1
Geminiviridae	Begomovirus	Sweet potato leaf curl virus	100755	DNA A	120	taxon	NA	1573978138	1573978138	134	120	1	500308.0	942.17	2.5126942636811997	88	1	1	1
Pospiviroidae	Pospiviroid	Tomato chlorotic dwarf viroid	100785	None	23	taxon	NA	1574001262	1574001262	24	23	1	500104.0	45.88	2.5126942636811997	88	1	1	1
Poxviridae	Orthopoxvirus	Cowpox virus	10243	None	65	taxon	NA	1574004999	1574004999	89	65	1	634888.0	6021.59	2.5126942636811997	88	1	1	1
Poxviridae	Orthopoxvirus	Monkeypox virus	10244	None	49	taxon	NA	1574005123	1574005123	49	49	1	602676.0	6013.68	2.5126942636811997	88	1	1	1
Poxviridae	Orthopoxvirus	Vaccinia virus	10245	None	35	taxon	NA	1574005125	1574005125	98	35	1	589812.0	4682.38	2.5126942636811997	88	1	1	1
Poxviridae	Orthopoxvirus	Variola virus	10255	None	51	taxon	NA	1574005412	1574005412	51	51	1	587764.0	5703.32	2.5126942636811997	88	1	1	1
Poxviridae	Parapoxvirus	Orf virus	10258	None	10	taxon	NA	1574005478	1574005478	12	10	1	525676.0	2977.81	2.5126942636811997	88	1	1	1
Poxviridae	Avipoxvirus	Fowlpox virus	10261	None	9	taxon	NA	1574004710	1574004710	10	9	1	660080.0	11991.98	2.5126942636811997	88	1	1	1
Poxviridae	Leporipoxvirus	Myxoma virus	10273	None	113	taxon	NA	1574004845	1574004845	116	113	1	593672.0	5699.85	2.5126942636811997	88	1	1	1
Poxviridae	Molluscipoxvirus	Molluscum contagiosum virus	10279	None	10	taxon	NA	1574004903	1574004903	16	10	1	568708.0	6537.99	2.5126942636811997	88	1	1	1
Herpesviridae	Simplexvirus	Human alphaherpesvirus 1	10298	None	57	taxon	NA	1573981032	1573981032	63	57	1	554616.0	3089.81	2.5126942636811997	88	1	1	1
