year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	1	1	1.0000
2009	0	0	0
2010	1	1	1.0000
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	2	2	1.0000
2016	0	0	0
2017	0	0	0
2018	0	0	0
