year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	287	280	.9756
2009	281	265	.9430
2010	276	249	.9021
2011	405	340	.8395
2012	272	243	.8933
2013	362	316	.8729
2014	458	404	.8820
2015	415	368	.8867
2016	65	60	.9230
2017	1	1	1.0000
2018	0	0	0
