X	num_kmers_in_X_taxonomies
1	77883753
2	649247
3	106001
4	69933
5	510
6	280
7	131
8	116
9	108
10	67
11	76
12	136
13	41
14	35
15	13
16	10
17	12
18	8
19	3
20	2
25	1
38	1
