accession	country	year	entry_create_year	taxid
KM821858	Sierra Leone	2012	2014	11620
KM821819	Sierra Leone	2011	2014	11620
KM822048	Nigeria	2010	2014	11620
MH053590	Nigeria	2016	2018	11620
KM821948	Nigeria	2011	2014	11620
MH215288	Liberia: Nimba	2018	2019	11620
KM821801	Sierra Leone	2011	2014	11620
KM822034	Nigeria	2010	2014	11620
KM821997	Nigeria	2012	2014	11620
MH053471	Nigeria	2016	2018	11620
GU979513	Guinea	2003	2011	11620
KM821968	Nigeria	2012	2014	11620
KM821879	Sierra Leone	2012	2014	11620
KM821960	Nigeria	2012	2014	11620
KM822068	Nigeria	2009	2014	11620
MH053529	Nigeria	2016	2018	11620
GU481073	Nigeria: Plateau State	2008	2011	11620
MG812644	Guinea	1981	2019	11620
KM822056	Nigeria	2010	2014	11620
MH053515	Nigeria	2016	2018	11620
KM822052	Nigeria	2010	2014	11620
KM822011	Nigeria	2009	2014	11620
MH157036	Nigeria	2018	2018	11620
KM822040	Nigeria	2011	2014	11620
KM821987	Nigeria	2012	2014	11620
KM821809	Sierra Leone	2011	2014	11620
KM822030	Nigeria	2010	2014	11620
KM821873	Sierra Leone	2012	2014	11620
KM822090	Nigeria	2009	2014	11620
KM821954	Nigeria	2012	2014	11620
KM822061	Nigeria	2009	2014	11620
KM822036	Nigeria	2011	2014	11620
AY628200	None	None	2004	11620
KM821817	Sierra Leone	2011	2014	11620
MH053535	Nigeria	2016	2018	11620
KM821938	Nigeria	2012	2014	11620
KM822094	Nigeria	2009	2014	11620
KM821893	Sierra Leone	2013	2014	11620
KM821795	Sierra Leone	2010	2014	11620
KM821928	Nigeria	2011	2014	11620
MH053548	Nigeria	2016	2018	11620
KM821782	Sierra Leone	2009	2014	11620
KM821917	Nigeria	2011	2014	11620
MH157029	Nigeria	2018	2018	11620
KM821791	Sierra Leone	2010	2014	11620
KM822116	Sierra Leone	2012	2014	11620
KM821911	Nigeria	2011	2014	11620
KM821913	Nigeria	2011	2014	11620
KM821864	Sierra Leone	2012	2014	11620
KM822102	Nigeria	2009	2014	11620
KM821778	Sierra Leone	2009	2014	11620
KM821851	Sierra Leone	2012	2014	11620
KM821898	Sierra Leone	2013	2014	11620
KM821985	Nigeria	2012	2014	11620
MW004546	None	2011	2021	11620
KM821934	Nigeria	2011	2014	11620
KM822129	Sierra Leone	2011	2014	11620
MG812640	Nigeria	1989	2019	11620
KM821964	Nigeria	2012	2014	11620
AY628204	None	None	2004	11620
MG812638	Sierra Leone	1977	2019	11620
KM822131	Sierra Leone	2011	2014	11620
KM821908	Sierra Leone	2013	2014	11620
KM821896	Sierra Leone	2013	2014	11620
KM821823	Sierra Leone	2011	2014	11620
AY179171	None	None	2003	11620
KM821825	Sierra Leone	2011	2014	11620
MH053500	Nigeria	2016	2018	11620
KM821786	Sierra Leone	2010	2014	11620
KM822110	Sierra Leone	2010	2014	11620
KM822019	Nigeria	2009	2014	11620
KM822054	Nigeria	2010	2014	11620
MH157033	Nigeria	2018	2018	11620
KM822114	Sierra Leone	2009	2014	11620
MK291251	Nigeria	2015	2019	11620
KM822007	Nigeria	2009	2014	11620
KM822123	Sierra Leone	2012	2014	11620
KM821838	Sierra Leone	2012	2014	11620
KM822085	Nigeria	2009	2014	11620
KM821958	Nigeria	2012	2014	11620
KM821844	Sierra Leone	2012	2014	11620
MG812633	Liberia	1981	2019	11620
MG812630	Liberia	1981	2019	11620
KM821891	Sierra Leone	2013	2014	11620
MH053524	Nigeria	2016	2018	11620
KU978809	Guinea	1981	2017	11620
MG812668	Liberia: Bong	2017	2019	11620
KM821944	Nigeria	2012	2014	11620
MK291252	Nigeria	2014	2019	11620
GU481079	Nigeria: Edo State	2008	2011	11620
KM822127	Nigeria	1969	2014	11620
MG812646	Sierra Leone	1975	2019	11620
KM821868	Sierra Leone	2012	2014	11620
KM822028	Nigeria	2010	2014	11620
KM822121	Sierra Leone	2012	2014	11620
KM821860	Sierra Leone	2012	2014	11620
KM822083	Nigeria	2009	2014	11620
KM821862	Sierra Leone	2012	2014	11620
KM822125	Sierra Leone	2012	2014	11620
MG812676	Liberia: Bong	2017	2019	11620
KM821921	Nigeria	2011	2014	11620
MK291253	Nigeria	2014	2019	11620
KM821952	Nigeria	2012	2014	11620
MG812642	Sierra Leone	1979	2019	11620
KM821836	Sierra Leone	2012	2014	11620
MH053540	Nigeria	2016	2018	11620
MH053565	Nigeria	2016	2018	11620
KM822013	Nigeria	2008	2014	11620
MH053587	Nigeria	2016	2018	11620
MH053558	Nigeria	2016	2018	11620
KU978808	Guinea	None	2017	11620
MG812637	Liberia	1981	2019	11620
KM821799	Sierra Leone	2011	2014	11620
KM822005	Nigeria	2009	2014	11620
KM822058	Nigeria	2009	2014	11620
LT601601	None	None	2016	11620
KM821846	Sierra Leone	2012	2014	11620
KM821905	Sierra Leone	2013	2014	11620
MH053563	Nigeria	2016	2018	11620
MH053473	Nigeria	2016	2018	11620
KM821784	Sierra Leone	2009	2014	11620
MG812678	Liberia	2010	2019	11620
KM821999	Nigeria	2008	2014	11620
KM822104	Nigeria	2009	2014	11620
KM822077	Nigeria	2009	2014	11620
KM821829	Sierra Leone	2011	2014	11620
MH053542	Nigeria	2016	2018	11620
MK281629	Nigeria	2018	2019	11620
KM821853	Sierra Leone	2012	2014	11620
MH053494	Nigeria	2016	2018	11620
KM822038	Nigeria	2010	2014	11620
FR832710	None	None	2011	11620
MH157053	Nigeria	2018	2018	11620
KM821840	Sierra Leone	2012	2014	11620
MG812662	Liberia: Bong	2016	2019	11620
KM822098	Nigeria	2009	2014	11620
KM822001	Nigeria	2008	2014	11620
KM821888	Sierra Leone	2013	2014	11620
KM821811	Sierra Leone	2011	2014	11620
MH053512	Nigeria	2016	2018	11620
KM821788	Sierra Leone	2010	2014	11620
