year	num.seqs	num.covered	frac.covered
2007	1	1	1.0000
2008	565	427	.7557
2009	7656	7459	.9742
2010	2097	1897	.9046
2011	1874	1605	.8564
2012	1280	974	.7609
2013	1871	1628	.8701
2014	1371	1104	.8052
2015	1286	1055	.8203
2016	2782	2636	.9475
2017	431	399	.9257
2018	0	0	0
