year	num.seqs	num.covered	frac.covered
2007	0	0	0
2008	65	50	.7692
2009	128	79	.6171
2010	169	116	.6863
2011	66	49	.7424
2012	37	26	.7027
2013	424	355	.8372
2014	444	417	.9391
2015	89	70	.7865
2016	77	74	.9610
2017	8	8	1.0000
2018	0	0	0
